자치구명,법정동명,신고년도,건물면적,층정보,물건금액,건축년도,건물명,경과년도,브랜드점수,매매지수
강남구,대치동,2016,139.54,15,1495000000,2004,포스코더샵,17,1,77.5
강남구,압구정동,2016,74.4,9,1097000000,1987,미성2차,34,0,77.5
강남구,도곡동,2016,130.55,5,1100000000,1999,대림아크로빌,22,1,77.5
강남구,개포동,2016,40.53,2,725000000,1984,시영,37,0,77.5
강남구,수서동,2016,49.5,6,556000000,1993,까치마을,28,0,77.5
강남구,역삼동,2016,59.15,10,499000000,2002,대우디오빌,19,0,77.5
강남구,역삼동,2016,90.15,7,555000000,2005,역삼엔스위트1,16,0,77.5
강남구,대치동,2016,92.84,5,700000000,2005,청원,16,0,77.5
강남구,개포동,2016,67.28,1,830000000,1987,개포6차우성아파트1동~8동,34,0,77.5
강남구,도곡동,2016,85.0,9,1270000000,2006,도곡렉슬,15,0,77.5
강남구,개포동,2016,28.79,2,664000000,1984,시영,37,0,77.5
강남구,도곡동,2016,84.15,30,1090000000,2002,타워팰리스1,19,0,77.5
강남구,역삼동,2016,84.99,13,1190000000,2005,e-편한세상,16,0,77.5
강남구,도곡동,2016,79.89,2,920000000,1986,럭키(462),35,0,77.5
강남구,개포동,2016,51.18,2,1000000000,1984,시영,37,0,77.5
강남구,도곡동,2016,83.86,3,1300000000,1985,한신(개포),36,0,77.5
강남구,개포동,2016,50.38,1,1262000000,1982,개포주공 1단지,39,0,77.5
강남구,수서동,2016,60.0,9,680000000,1992,삼익,29,0,77.5
강남구,역삼동,2016,39.89,6,300000000,1996,한스빌(836),25,0,77.5
강남구,신사동,2016,107.75,5,1000000000,2004,압구정케이씨씨(622-1),17,0,77.5
강남구,압구정동,2016,117.91,3,2550000000,1977,현대4차저층(51~56동),44,0,77.5
강남구,대치동,2016,76.79,4,1200000000,1979,은마,42,0,77.5
강남구,역삼동,2016,84.97,9,1240000000,2009,래미안그레이튼,12,1,77.5
강남구,삼성동,2016,134.81,1,1643000000,2007,래미안삼성2차,14,1,77.5
강남구,역삼동,2016,83.27,7,750000000,2005,역삼동월드메르디앙,16,0,77.5
강남구,논현동,2016,142.88,15,800000000,1997,현대인텔렉스,24,0,77.5
강남구,대치동,2016,59.96,12,1015000000,2008,대치아이파크,13,1,77.5
강남구,수서동,2016,33.18,2,480000000,1992,신동아,29,0,77.5
강남구,대치동,2016,84.85,3,865000000,2002,세영팔레스타운,19,0,77.5
강남구,도곡동,2016,122.81,1,1380000000,2001,삼성래미안,20,1,77.5
강남구,수서동,2016,39.53,8,620000000,1992,신동아,29,0,77.5
강남구,수서동,2016,49.96,9,690000000,1992,신동아,29,0,77.5
강남구,자곡동,2016,91.96,12,1000000000,2014,래미안강남힐즈,7,1,77.5
강남구,도곡동,2016,54.81,5,740000000,1994,삼성,27,0,77.5
강남구,청담동,2016,114.97,12,980000000,1999,삼환,22,0,77.5
강남구,일원동,2016,84.06,4,1090000000,1987,우성7,34,0,77.5
강남구,삼성동,2016,94.26,8,1400000000,1981,홍실아파트,40,0,77.5
