자치구명,법정동명,신고년도,건물면적,층정보,물건금액,건축년도,건물명,경과년도,브랜드점수,매매지수
강동구,상일동,2016,48.85,5,510000000,1983,주공3,38,0,77.4
강동구,암사동,2016,83.39,5,400000000,2001,한건,20,0,77.4
강동구,길동,2016,42.44,9,240000000,1999,신동아4,22,0,77.4
강동구,암사동,2016,84.93,4,460000000,1999,한강현대,22,0,77.4
강동구,암사동,2016,59.64,17,400000000,2000,선사현대아파트,21,0,77.4
강동구,둔촌동,2016,73.98,8,378000000,1995,성원,26,0,77.4
강동구,둔촌동,2016,84.9,5,632000000,2010,둔촌푸르지오,11,1,77.4
강동구,둔촌동,2016,84.9,10,628000000,2010,둔촌푸르지오,11,1,77.4
강동구,암사동,2016,59.99,12,500000000,2008,롯데캐슬퍼스트,13,1,77.4
강동구,상일동,2016,65.16,5,543000000,1983,주공7,38,0,77.4
강동구,암사동,2016,59.99,12,505000000,2008,롯데캐슬퍼스트,13,1,77.4
강동구,상일동,2016,55.8,2,570000000,1983,주공3,38,0,77.4
강동구,길동,2016,56.7,6,234000000,2002,신암가온,19,0,77.4
강동구,상일동,2016,48.85,4,500000000,1983,주공3,38,0,77.4
강동구,상일동,2016,55.8,5,530000000,1983,주공3,38,0,77.4
강동구,상일동,2016,48.6,4,450000000,1983,주공3,38,0,77.4
강동구,상일동,2016,48.6,5,468000000,1983,주공3,38,0,77.4
강동구,암사동,2016,59.94,4,380000000,1999,한강현대,22,0,77.4
강동구,암사동,2016,84.98,8,480000000,2005,암사e편한세상,16,0,77.4
강동구,상일동,2016,48.85,4,500000000,1983,주공3,38,0,77.4
강동구,상일동,2016,65.16,5,570000000,1983,주공7,38,0,77.4
강동구,상일동,2016,48.6,3,480000000,1983,주공3,38,0,77.4
강동구,암사동,2016,84.98,3,592500000,2008,롯데캐슬퍼스트,13,1,77.4
강동구,암사동,2016,59.99,12,520000000,2008,롯데캐슬퍼스트,13,1,77.4
강동구,천호동,2016,84.34,4,240000000,2003,그랜드밸리아파트,18,0,77.4
강동구,명일동,2016,69.36,5,360000000,1980,삼익그린1차,41,0,77.4
강동구,명일동,2016,83.93,5,499750000,1985,고덕주공9,36,0,77.4
강동구,상일동,2016,48.85,5,450000000,1983,주공3,38,0,77.4
강동구,암사동,2016,59.99,23,500000000,2008,롯데캐슬퍼스트,13,1,77.4
강동구,성내동,2016,114.5,14,540000000,1999,코오롱(1차),22,0,77.4
강동구,암사동,2016,133.97,9,840000000,2008,롯데캐슬퍼스트,13,1,77.4
강동구,상일동,2016,55.44,1,495000000,1983,주공7,38,0,77.4
강동구,명일동,2016,83.52,13,500000000,1985,고덕주공9,36,0,77.4
강동구,상일동,2016,48.85,2,415600000,1983,주공3,38,0,77.4
강동구,상일동,2016,41.62,3,365450000,1983,주공3,38,0,77.4
강동구,상일동,2016,41.62,1,405000000,1983,주공3,38,0,77.4
강동구,상일동,2016,32.98,1,334100000,1983,주공3,38,0,77.4
강동구,상일동,2016,48.85,4,500000000,1983,주공3,38,0,77.4
강동구,강일동,2016,84.74,12,470000000,2009,강일리버파크7단지,12,0,77.4
강동구,둔촌동,2016,69.17,12,373000000,1988,현대2,33,0,77.4
