자치구명,법정동명,신고년도,건물면적,층정보,물건금액,건축년도,건물명,경과년도,브랜드점수,매매지수
강북구,미아동,2016,59.98,6,313000000,2004,에스케이북한산시티,17,0,82.2
강북구,미아동,2016,84.92,16,390000000,2004,에스케이북한산시티,17,0,82.2
강북구,번동,2016,41.3,13,185000000,1991,주공1단지,30,0,82.2
강북구,번동,2016,59.91,4,264000000,2000,한진,21,0,82.2
강북구,미아동,2016,84.24,6,318000000,1996,두원프라자,25,0,82.2
강북구,번동,2016,84.88,14,400000000,2005,한솔솔파크,16,0,82.2
강북구,번동,2016,41.3,4,180000000,1991,주공1단지,30,0,82.2
강북구,미아동,2016,59.4,6,248000000,1998,현대성우,23,0,82.2
강북구,미아동,2016,84.87,7,400000000,2003,경남아너스빌(1356-0),18,0,82.2
강북구,번동,2016,71.89,3,300000000,1991,주공1단지,30,0,82.2
강북구,수유동,2016,60.48,6,160000000,2002,대성월드빌,19,0,82.2
강북구,미아동,2016,84.99,12,477000000,2011,두산위브트레지움,10,0,82.2
강북구,수유동,2016,134.18,4,410000000,2001,진안골드밸리,20,0,82.2
강북구,미아동,2016,84.87,13,398000000,2003,경남아너스빌(1356-0),18,0,82.2
강북구,번동,2016,84.86,1,343000000,1998,동문,23,0,82.2
강북구,번동,2016,49.94,1,230000000,1991,주공1단지,30,0,82.2
강북구,번동,2016,59.91,2,260000000,2000,한진,21,0,82.2
강북구,번동,2016,84.41,4,325000000,1991,주공1단지,30,0,82.2
강북구,번동,2016,84.67,2,309000000,1992,번동한양아파트,29,0,82.2
강북구,우이동,2016,84.98,9,295000000,1990,성원상떼빌,31,0,82.2
강북구,미아동,2016,84.86,8,360000000,2004,에스케이북한산시티,17,0,82.2
강북구,미아동,2016,84.92,7,325000000,1998,현대성우,23,0,82.2
강북구,수유동,2016,74.48,12,287000000,1998,수유삼호,23,0,82.2
강북구,수유동,2016,12.33,11,101000000,2014,수유역하이씨티,7,0,82.2
강북구,번동,2016,49.94,13,220000000,1991,주공4단지,30,0,82.2
강북구,번동,2016,84.6,1,300000000,2000,신원,21,0,82.2
강북구,우이동,2016,84.93,2,390000000,2000,대우,21,0,82.2
강북구,수유동,2016,84.99,15,407000000,2001,래미안수유,20,1,82.2
강북구,번동,2016,49.94,15,213000000,1991,주공4단지,30,0,82.2
강북구,번동,2016,59.94,19,235000000,2000,기산그린,21,0,82.2
강북구,미아동,2016,84.93,5,469000000,2006,미아동부센트레빌,15,0,82.2
강북구,번동,2016,59.82,1,250000000,1999,번동솔그린,22,0,82.2
강북구,번동,2016,59.22,13,262000000,1991,주공4단지,30,0,82.2
강북구,번동,2016,84.88,15,403000000,2005,한솔솔파크,16,0,82.2
강북구,번동,2016,59.22,12,265000000,1991,주공4단지,30,0,82.2
강북구,미아동,2016,68.68,11,290000000,2009,성북프라자,12,0,82.2
강북구,미아동,2016,59.76,7,440000000,2010,송천센트레빌,11,0,82.2
강북구,번동,2016,84.97,6,320000000,2000,한진,21,0,82.2
강북구,번동,2016,59.96,14,265000000,2000,신원,21,0,82.2
강북구,미아동,2016,59.76,4,428000000,2010,송천센트레빌,11,0,82.2
강북구,미아동,2016,59.33,4,369000000,2010,삼성래미안트리베라2단지,11,1,82.2
강북구,수유동,2016,84.99,5,327000000,1992,극동,29,0,82.2
강북구,수유동,2016,84.99,2,280000000,1992,극동,29,0,82.2
강북구,번동,2016,84.92,8,310000000,1997,쌍용,24,0,82.2
강북구,미아동,2016,59.76,9,428000000,2010,송천센트레빌,11,0,82.2
강북구,번동,2016,72.77,4,325000000,2015,센트로힐,6,0,82.2
강북구,미아동,2016,59.98,10,315000000,2004,에스케이북한산시티,17,0,82.2
강북구,번동,2016,59.82,4,246000000,1999,번동솔그린,22,0,82.2
강북구,번동,2016,84.67,12,332000000,1992,번동한양아파트,29,0,82.2
강북구,번동,2016,59.82,16,248000000,1999,번동솔그린,22,0,82.2
강북구,미아동,2016,59.98,21,309000000,2004,에스케이북한산시티,17,0,82.2
강북구,미아동,2016,59.67,18,278000000,2004,벽산라이브파크,17,0,82.2
강북구,미아동,2016,84.89,4,370000000,2004,벽산라이브파크,17,0,82.2
강북구,미아동,2016,59.4,14,253000000,1998,현대성우,23,0,82.2
강북구,번동,2016,84.93,10,334000000,1998,번동금호어울림,23,0,82.2
강북구,번동,2016,44.89,11,198000000,1991,주공4단지,30,0,82.2
강북구,우이동,2016,84.93,4,405000000,2000,대우,21,0,82.2
강북구,미아동,2016,84.97,13,474000000,2010,래미안트리베라1단지,11,1,82.2
강북구,수유동,2016,71.3,4,267000000,1992,극동,29,0,82.2
강북구,미아동,2016,84.97,13,465000000,2010,래미안트리베라1단지,11,1,82.2
강북구,미아동,2016,84.29,11,508000000,2010,삼성래미안트리베라2단지,11,1,82.2
강북구,미아동,2016,84.29,13,480000000,2010,삼성래미안트리베라2단지,11,1,82.2
강북구,미아동,2016,84.71,20,400000000,2003,삼각산아이원,18,0,82.2
강북구,우이동,2016,71.78,15,260000000,1990,성원상떼빌,31,0,82.2
강북구,수유동,2016,63.78,6,270000000,1993,수유벽산1차,28,0,82.2
강북구,수유동,2016,63.78,13,275000000,1993,수유벽산1차,28,0,82.2
강북구,미아동,2016,84.87,22,400000000,2003,경남아너스빌(1356-0),18,0,82.2
강북구,번동,2016,59.94,11,236000000,2000,기산그린,21,0,82.2
강북구,번동,2016,59.43,1,248000000,1998,번동금호어울림,23,0,82.2
강북구,미아동,2016,84.29,4,487500000,2010,삼성래미안트리베라2단지,11,1,82.2
강북구,번동,2016,41.3,6,185000000,1991,주공1단지,30,0,82.2
강북구,번동,2016,127.25,6,429500000,2003,해모로아파트,18,0,82.2
강북구,번동,2016,84.79,13,337000000,1991,주공4단지,30,0,82.2
강북구,미아동,2016,84.92,4,370000000,2004,에스케이북한산시티,17,0,82.2
강북구,미아동,2016,60.0,7,286500000,2004,벽산라이브파크,17,0,82.2
강북구,미아동,2016,59.96,12,328000000,2003,경남아너스빌(1356-0),18,0,82.2
강북구,미아동,2016,59.98,24,321000000,2004,에스케이북한산시티,17,0,82.2
강북구,미아동,2016,114.92,9,448500000,2003,경남아너스빌(1356-0),18,0,82.2
강북구,미아동,2016,59.98,13,319000000,2004,에스케이북한산시티,17,0,82.2
강북구,미아동,2016,59.98,15,323000000,2004,에스케이북한산시티,17,0,82.2
강북구,번동,2016,59.96,16,257000000,2000,신원,21,0,82.2
강북구,미아동,2016,84.29,4,460000000,2010,삼성래미안트리베라2단지,11,1,82.2
강북구,번동,2016,76.08,12,297000000,2000,기산그린,21,0,82.2
강북구,번동,2016,41.3,12,185000000,1991,주공1단지,30,0,82.2
강북구,번동,2016,41.3,2,178000000,1991,주공1단지,30,0,82.2
강북구,미아동,2016,59.4,13,240000000,1998,현대성우,23,0,82.2
강북구,미아동,2016,59.98,6,315000000,2004,에스케이북한산시티,17,0,82.2
강북구,수유동,2016,84.92,11,365000000,1993,수유벽산1차,28,0,82.2
강북구,미아동,2016,84.29,12,500000000,2010,삼성래미안트리베라2단지,11,1,82.2
강북구,수유동,2016,59.88,8,300000000,2001,래미안수유,20,1,82.2
강북구,미아동,2016,59.33,2,385000000,2010,삼성래미안트리베라2단지,11,1,82.2
강북구,미아동,2016,114.68,15,405000000,2004,벽산라이브파크,17,0,82.2
강북구,미아동,2016,59.33,2,385000000,2010,삼성래미안트리베라2단지,11,1,82.2
강북구,미아동,2016,84.92,4,395000000,2004,에스케이북한산시티,17,0,82.2
강북구,미아동,2016,59.38,11,400000000,2010,삼성래미안트리베라2단지,11,1,82.2
강북구,미아동,2016,59.98,12,317000000,2004,에스케이북한산시티,17,0,82.2
강북구,번동,2016,41.3,15,180000000,1991,주공1단지,30,0,82.2
강북구,우이동,2016,71.36,1,250000000,2003,북한산굿모닝,18,0,82.2
강북구,미아동,2016,59.38,17,388500000,2010,삼성래미안트리베라2단지,11,1,82.2
강북구,미아동,2016,59.33,1,360000000,2010,삼성래미안트리베라2단지,11,1,82.2
강북구,번동,2016,59.43,2,255000000,1998,번동금호어울림,23,0,82.2
강북구,번동,2016,84.92,5,317000000,1997,쌍용,24,0,82.2
강북구,미아동,2016,114.92,10,455000000,2003,경남아너스빌(1356-0),18,0,82.2
강북구,미아동,2016,59.96,7,326000000,2003,경남아너스빌(1356-0),18,0,82.2
강북구,미아동,2016,59.6,6,372500000,2010,래미안트리베라1단지,11,1,82.2
강북구,번동,2016,84.97,1,285000000,2000,한진,21,0,82.2
강북구,미아동,2016,59.99,13,387000000,2011,두산위브트레지움,10,0,82.2
강북구,미아동,2016,84.15,12,470000000,2010,삼성래미안트리베라2단지,11,1,82.2
강북구,미아동,2016,84.15,13,490000000,2010,삼성래미안트리베라2단지,11,1,82.2
강북구,번동,2016,59.98,1,263500000,2003,해모로아파트,18,0,82.2
