자치구명,법정동명,신고년도,건물면적,층정보,물건금액,건축년도,건물명,경과년도,브랜드점수,매매지수
강서구,가양동,2016,34.44,4,200000000,1992,강변,29,0,79.3
강서구,가양동,2016,75.48,6,410000000,1990,가양우성,31,0,79.3
강서구,염창동,2016,59.91,12,345000000,2001,성원,20,0,79.3
강서구,화곡동,2016,59.97,1,235000000,2007,푸른숲,14,0,79.3
강서구,방화동,2016,39.6,2,205000000,1994,방화5,27,0,79.3
강서구,방화동,2016,59.4,3,290000000,1995,신동아,26,0,79.3
강서구,염창동,2016,59.91,7,320000000,2001,성원,20,0,79.3
강서구,염창동,2016,59.96,4,370000000,1997,관음삼성,24,0,79.3
강서구,화곡동,2016,27.47,7,161000000,2012,산내들,9,0,79.3
강서구,등촌동,2016,58.14,9,390000000,1995,주공3,26,0,79.3
강서구,화곡동,2016,58.86,4,159000000,2002,강동,19,0,79.3
강서구,가양동,2016,101.97,2,520000000,1993,동신대아,28,0,79.3
강서구,염창동,2016,84.64,1,400000000,1999,무학,22,0,79.3
강서구,방화동,2016,59.4,10,310000000,1995,신동아,26,0,79.3
강서구,등촌동,2016,84.96,3,347000000,1992,우성,29,0,79.3
강서구,등촌동,2016,58.14,4,385000000,1995,주공3,26,0,79.3
강서구,방화동,2016,33.6,3,164000000,1993,방화그린,28,0,79.3
강서구,방화동,2016,84.95,14,385000000,1993,동성,28,0,79.3
강서구,방화동,2016,49.77,1,250000000,1994,방화5,27,0,79.3
강서구,등촌동,2016,58.14,13,410000000,1995,주공3,26,0,79.3
강서구,등촌동,2016,80.64,5,450000000,1994,부영,27,0,79.3
강서구,가양동,2016,34.44,6,206000000,1992,강변,29,0,79.3
강서구,등촌동,2016,58.14,14,359000000,1995,주공10,26,0,79.3
강서구,가양동,2016,39.6,12,245000000,1992,강변,29,0,79.3
강서구,등촌동,2016,37.67,2,250000000,1995,주공10,26,0,79.3
강서구,가양동,2016,49.5,15,306500000,1992,강변,29,0,79.3
강서구,등촌동,2016,58.14,9,360000000,1995,주공10,26,0,79.3
강서구,등촌동,2016,37.67,10,260000000,1995,주공10,26,0,79.3
강서구,방화동,2016,59.04,15,289000000,1994,장미,27,0,79.3
강서구,등촌동,2016,58.14,14,385000000,1995,주공3,26,0,79.3
강서구,가양동,2016,84.99,6,460000000,1993,한강타운,28,0,79.3
강서구,염창동,2016,59.97,6,319000000,1999,태영,22,0,79.3
강서구,염창동,2016,58.87,9,344000000,1994,태진한솔,27,0,79.3
강서구,방화동,2016,84.92,2,400000000,1998,청구,23,0,79.3
강서구,가양동,2016,49.5,8,316000000,1992,강변,29,0,79.3
강서구,가양동,2016,84.99,3,460000000,1993,한강타운,28,0,79.3
강서구,내발산동,2016,84.71,9,450000000,2003,롯데2,18,0,79.3
강서구,화곡동,2016,84.97,3,298000000,2004,보람,17,0,79.3
강서구,방화동,2016,39.36,11,240000000,1994,청솔,27,0,79.3
강서구,마곡동,2016,59.98,5,355000000,1999,벽산,22,0,79.3
강서구,염창동,2016,59.82,11,355000000,1995,신동아,26,0,79.3
강서구,화곡동,2016,52.8,2,170000000,2002,대진,19,0,79.3
강서구,방화동,2016,64.65,11,380000000,1993,동성,28,0,79.3
강서구,염창동,2016,114.9,9,535000000,1997,관음삼성,24,0,79.3
강서구,방화동,2016,84.99,2,390000000,1993,현대,28,0,79.3
강서구,염창동,2016,59.38,8,357000000,1999,무학,22,0,79.3
강서구,염창동,2016,84.87,13,465000000,1999,동아3,22,0,79.3
강서구,방화동,2016,84.95,3,427000000,1993,동성,28,0,79.3
강서구,등촌동,2016,37.67,14,318500000,1995,주공5,26,0,79.3
강서구,염창동,2016,59.91,5,362500000,2001,성원,20,0,79.3
강서구,방화동,2016,84.95,6,470000000,1993,동성,28,0,79.3
강서구,화곡동,2016,70.84,8,245000000,1999,삼도,22,0,79.3
강서구,등촌동,2016,59.34,7,322000000,2000,임광,21,0,79.3
강서구,방화동,2016,33.6,5,215000000,1993,방화그린,28,0,79.3
강서구,등촌동,2016,58.14,12,417000000,1995,주공5,26,0,79.3
강서구,등촌동,2016,58.14,3,418000000,1995,주공10,26,0,79.3
강서구,등촌동,2016,58.14,4,424000000,1995,주공10,26,0,79.3
강서구,염창동,2016,59.36,4,327000000,1993,현대2,28,0,79.3
강서구,방화동,2016,84.99,12,425000000,1993,현대,28,0,79.3
강서구,방화동,2016,100.35,11,460000000,1994,삼환,27,0,79.3
강서구,등촌동,2016,84.81,4,430000000,1995,태진아름,26,0,79.3
강서구,방화동,2016,33.18,9,230000000,1994,방화5,27,0,79.3
강서구,방화동,2016,33.18,12,230000000,1994,방화5,27,0,79.3
강서구,화곡동,2016,59.79,14,265000000,2011,동훈타마르(921-18),10,0,79.3
강서구,내발산동,2016,84.53,12,520000000,2007,마곡수명산파크1단지,14,0,79.3
강서구,화곡동,2016,76.23,3,307000000,2004,유림노르웨이숲(919-1),17,0,79.3
강서구,마곡동,2016,114.69,2,820000000,2014,마곡엠밸리7단지,7,0,79.3
강서구,등촌동,2016,58.14,5,387000000,1995,주공10,26,0,79.3
강서구,염창동,2016,59.97,5,344000000,1998,동아,23,0,79.3
강서구,염창동,2016,114.78,1,515000000,2007,강변코아루,14,0,79.3
강서구,염창동,2016,114.12,18,490000000,2001,성원,20,0,79.3
강서구,내발산동,2016,59.98,2,500000000,2005,우장산힐스테이트,16,1,79.3
강서구,염창동,2016,59.97,16,345000000,1998,동아,23,0,79.3
강서구,염창동,2016,114.84,16,540000000,1998,동아,23,0,79.3
강서구,마곡동,2016,84.87,3,530000000,2005,한솔솔파크,16,0,79.3
강서구,방화동,2016,51.28,5,300000000,1989,길훈,32,0,79.3
강서구,내발산동,2016,84.76,11,490000000,2008,마곡수명산파크4단지,13,0,79.3
강서구,방화동,2016,84.02,8,378000000,2002,신안네트빌1단지,19,0,79.3
강서구,방화동,2016,72.16,6,247000000,1999,홍익,22,0,79.3
강서구,등촌동,2016,84.93,11,440000000,1999,서광등촌마을2,22,0,79.3
강서구,방화동,2016,59.4,1,283500000,1995,신동아,26,0,79.3
강서구,염창동,2016,59.94,6,343000000,1995,삼성한마음,26,0,79.3
강서구,방화동,2016,59.97,7,351500000,2003,동부센트레빌,18,0,79.3
강서구,염창동,2016,84.97,7,530000000,2008,염창1차보람더하임,13,0,79.3
강서구,방화동,2016,84.29,5,465000000,1991,마곡나루경남아파트,30,0,79.3
강서구,방화동,2016,72.03,6,465000000,2013,마곡일성트루엘,8,0,79.3
강서구,방화동,2016,84.29,4,435000000,1991,마곡나루경남아파트,30,0,79.3
강서구,방화동,2016,47.22,3,245000000,1988,한미(286-1),33,0,79.3
강서구,방화동,2016,39.6,9,254000000,1994,방화5,27,0,79.3
강서구,마곡동,2016,59.98,2,422000000,1993,신안,28,0,79.3
강서구,내발산동,2016,59.84,7,432000000,2008,마곡수명산파크4단지,13,0,79.3
강서구,화곡동,2016,84.89,4,306000000,2005,진성101동,16,0,79.3
강서구,화곡동,2016,84.31,5,389000000,2003,청솔,18,0,79.3
강서구,방화동,2016,59.34,5,293000000,1994,방화12도시개발공사,27,0,79.3
강서구,등촌동,2016,123.72,14,618000000,1995,대림,26,0,79.3
강서구,내발산동,2016,84.53,6,445000000,2008,마곡수명산파크7단지,13,0,79.3
강서구,가양동,2016,39.6,3,239500000,1992,가양6단지,29,0,79.3
강서구,염창동,2016,84.7,6,415000000,1990,염창동한강우성,31,0,79.3
강서구,방화동,2016,39.58,1,174000000,1994,방화12도시개발공사,27,0,79.3
강서구,등촌동,2016,101.88,17,495000000,1995,동성,26,0,79.3
강서구,가양동,2016,59.76,16,400000000,1999,가양강나루현대,22,0,79.3
강서구,가양동,2016,59.76,12,402500000,1999,가양강나루현대,22,0,79.3
강서구,화곡동,2016,64.74,3,222000000,2001,계명가동(343-65),20,0,79.3
강서구,염창동,2016,59.82,8,315000000,1995,신동아,26,0,79.3
강서구,마곡동,2016,84.56,12,709000000,2014,마곡엠밸리4단지,7,0,79.3
강서구,등촌동,2016,84.99,6,460000000,1997,삼성한사랑1,24,0,79.3
강서구,방화동,2016,84.96,6,497500000,2013,마곡일성트루엘,8,0,79.3
강서구,등촌동,2016,59.73,4,335000000,1997,삼성한사랑1,24,0,79.3
강서구,염창동,2016,84.96,10,437000000,1998,한강동아,23,0,79.3
강서구,염창동,2016,84.97,21,550000000,2005,강변한솔솔파크,16,0,79.3
강서구,화곡동,2016,84.99,12,680000000,2015,강서힐스테이트,6,1,79.3
강서구,염창동,2016,84.69,7,507000000,2005,강변한솔솔파크,16,0,79.3
강서구,방화동,2016,72.03,13,435000000,2013,마곡일성트루엘,8,0,79.3
강서구,마곡동,2016,59.98,13,460000000,1993,신안,28,0,79.3
강서구,화곡동,2016,108.78,5,380000000,2005,우공팰리스102동,16,0,79.3
강서구,화곡동,2016,120.11,12,540000000,2004,우장산한화꿈에그린,17,0,79.3
강서구,방화동,2016,59.4,15,300000000,1995,신동아,26,0,79.3
강서구,염창동,2016,84.96,12,480000000,1999,극동상록수,22,0,79.3
강서구,가양동,2016,84.99,10,477000000,1993,한강타운,28,0,79.3
강서구,마곡동,2016,84.99,15,715000000,2014,마곡엠밸리6단지,7,0,79.3
강서구,화곡동,2016,14.68,8,89700000,2012,강서동도센트리움,9,0,79.3
강서구,가양동,2016,34.44,3,220000000,1992,가양2단지(성지),29,0,79.3
강서구,내발산동,2016,59.76,4,432000000,2008,마곡수명산파크5단지,13,0,79.3
강서구,가양동,2016,131.4,4,564000000,1993,대림경동아파트,28,0,79.3
강서구,화곡동,2016,84.97,18,600000000,2008,"우장산아이파크,이편한세상",13,1,79.3
강서구,화곡동,2016,14.68,5,89000000,2012,강서동도센트리움,9,0,79.3
강서구,가양동,2016,49.5,11,308000000,1992,강변,29,0,79.3
강서구,내발산동,2016,84.68,7,458000000,2008,마곡수명산파크7단지,13,0,79.3
강서구,방화동,2016,59.04,15,315000000,1994,청솔,27,0,79.3
강서구,화곡동,2016,114.98,1,695000000,2008,"우장산아이파크,이편한세상",13,1,79.3
강서구,염창동,2016,59.38,18,348000000,1999,무학,22,0,79.3
강서구,방화동,2016,84.96,8,365000000,1994,진로,27,0,79.3
강서구,화곡동,2016,59.98,8,485000000,2008,"우장산아이파크,이편한세상",13,1,79.3
강서구,가양동,2016,49.5,8,320000000,1992,강변,29,0,79.3
강서구,방화동,2016,70.86,11,338000000,1999,마곡현대아파트,22,0,79.3
강서구,염창동,2016,59.91,17,357000000,1999,극동상록수,22,0,79.3
강서구,방화동,2016,51.03,4,247000000,1994,방화12도시개발공사,27,0,79.3
강서구,가양동,2016,59.94,12,549500000,2013,강서한강자이,8,1,79.3
강서구,내발산동,2016,84.98,18,650000000,2005,우장산힐스테이트,16,1,79.3
강서구,방화동,2016,77.8,3,388000000,2002,길성그랑프리텔,19,0,79.3
강서구,마곡동,2016,84.88,5,730000000,2014,마곡엠밸리6단지,7,0,79.3
강서구,등촌동,2016,59.94,2,320000000,2000,대동황토방,21,0,79.3
강서구,등촌동,2016,83.94,8,367500000,2002,다울,19,0,79.3
