자치구명,법정동명,신고년도,건물면적,층정보,물건금액,건축년도,건물명,경과년도,브랜드점수,매매지수
관악구,봉천동,2016,59.83,27,380000000,2003,관악드림(동아),18,0,81.6
관악구,신림동,2016,59.91,3,305000000,1996,신림2차현대,25,0,81.6
관악구,봉천동,2016,59.85,14,358000000,2003,관악드림(삼성),18,0,81.6
관악구,봉천동,2016,84.87,22,450000000,2000,봉천동아,21,0,81.6
관악구,봉천동,2016,59.85,7,342000000,2003,관악드림(동아),18,0,81.6
관악구,봉천동,2016,59.8,12,398000000,2004,벽산블루밍3차,17,0,81.6
관악구,남현동,2016,83.59,11,600000000,2007,예성그랑펠리체,14,0,81.6
관악구,봉천동,2016,59.83,19,378000000,2003,관악드림(삼성),18,0,81.6
관악구,봉천동,2016,84.96,16,445000000,2003,관악드림(동아),18,0,81.6
관악구,봉천동,2016,84.99,2,402000000,2005,벽산블루밍,16,0,81.6
관악구,봉천동,2016,14.47,13,141000000,2012,코스모블루,9,0,81.6
관악구,봉천동,2016,59.8,4,390000000,2004,벽산블루밍3차,17,0,81.6
관악구,봉천동,2016,30.01,19,257500000,2014,외 3필지 프라비다M,7,0,81.6
관악구,신림동,2016,59.74,3,335000000,1999,우방,22,0,81.6
관악구,신림동,2016,114.71,14,487500000,2007,신림2차푸르지오,14,1,81.6
관악구,봉천동,2016,108.91,18,545000000,2010,관악위버폴리스,11,0,81.6
관악구,신림동,2016,46.72,6,159000000,1974,강남,47,0,81.6
관악구,봉천동,2016,84.99,5,417000000,2005,벽산블루밍,16,0,81.6
관악구,신림동,2016,84.82,10,393000000,1996,LIG 대학마을(건영아파트3차),25,0,81.6
관악구,봉천동,2016,84.87,4,350000000,2000,장미(917-1),21,0,81.6
관악구,봉천동,2016,59.99,21,300000000,2005,벽산블루밍,16,0,81.6
관악구,봉천동,2016,59.75,14,307500000,1999,신봉,22,0,81.6
관악구,신림동,2016,83.21,17,349000000,2000,삼성산주공(주공3단지),21,0,81.6
관악구,봉천동,2016,116.86,5,498000000,1992,현대(관악),29,0,81.6
관악구,신림동,2016,114.84,1,525000000,2005,신림푸르지오,16,1,81.6
관악구,신림동,2016,58.55,19,270000000,2000,삼성산주공(주공3단지),21,0,81.6
관악구,신림동,2016,84.97,3,405000000,2008,관악산휴먼시아 2단지,13,0,81.6
관악구,신림동,2016,114.7,14,490000000,2008,관악산휴먼시아 2단지,13,0,81.6
관악구,신림동,2016,107.26,1,430000000,2008,관악산휴먼시아 2단지,13,0,81.6
관악구,봉천동,2016,84.74,8,428000000,1992,현대(관악),29,0,81.6
관악구,봉천동,2016,58.59,2,297000000,1992,현대(관악),29,0,81.6
관악구,신림동,2016,84.98,2,385000000,2008,관악산휴먼시아 2단지,13,0,81.6
관악구,신림동,2016,55.21,3,250000000,1978,신안,43,0,81.6
관악구,봉천동,2016,84.75,12,505000000,2004,관악푸르지오,17,1,81.6
관악구,봉천동,2016,59.83,14,382000000,2003,관악드림(동아),18,0,81.6
관악구,봉천동,2016,84.96,19,455000000,2003,관악드림(삼성),18,0,81.6
관악구,신림동,2016,60.27,8,305000000,1984,건영1,37,0,81.6
관악구,신림동,2016,42.35,2,150000000,1974,강남,47,0,81.6
관악구,봉천동,2016,59.92,14,408000000,2000,두산,21,0,81.6
관악구,남현동,2016,82.34,7,380000000,2004,팔라시오,17,0,81.6
관악구,봉천동,2016,59.58,9,380000000,2004,관악푸르지오,17,1,81.6
관악구,신림동,2016,84.79,5,420000000,2007,효림다온,14,0,81.6
관악구,남현동,2016,33.41,12,314000000,2016,다청림 라인씨티,5,0,81.6
관악구,신림동,2016,59.96,7,360000000,2008,관악산휴먼시아 2단지,13,0,81.6
관악구,남현동,2016,73.55,8,480000000,2007,예성그랑펠리체,14,0,81.6
관악구,봉천동,2016,13.15,14,141000000,2012,마에스트로캠퍼스타운,9,0,81.6
관악구,봉천동,2016,49.95,3,327000000,2000,은천2단지아파트,21,0,81.6
관악구,봉천동,2016,59.93,5,390000000,2000,은천2단지아파트,21,0,81.6
관악구,봉천동,2016,84.65,6,540000000,2001,은천1,20,0,81.6
관악구,봉천동,2016,84.12,12,550000000,2006,반석푸른숲,15,0,81.6
관악구,봉천동,2016,59.93,3,395000000,2000,은천2단지아파트,21,0,81.6
관악구,남현동,2016,38.53,7,340000000,2016,다청림 라인씨티,5,0,81.6
관악구,봉천동,2016,84.99,13,420000000,2005,벽산블루밍,16,0,81.6
관악구,신림동,2016,51.27,3,235000000,1984,뉴서울,37,0,81.6
관악구,봉천동,2016,84.84,9,425000000,1996,보라매삼성,25,0,81.6
관악구,봉천동,2016,59.92,5,438000000,2000,두산,21,0,81.6
관악구,봉천동,2016,84.92,5,520000000,2000,두산,21,0,81.6
관악구,신림동,2016,59.74,22,342000000,1999,우방,22,0,81.6
관악구,봉천동,2016,123.29,2,420000000,1992,현대(관악),29,0,81.6
관악구,봉천동,2016,58.59,7,324000000,1992,현대(관악),29,0,81.6
관악구,남현동,2016,115.72,4,600000000,2003,흥화브라운빌,18,0,81.6
관악구,신림동,2016,84.93,12,430000000,2006,신림동부센트레빌,15,0,81.6
관악구,봉천동,2016,75.51,6,322000000,2003,신부파스카빌,18,0,81.6
관악구,신림동,2016,91.24,7,420000000,1982,라이프미성,39,0,81.6
관악구,신림동,2016,93.79,1,400000000,1982,라이프미성,39,0,81.6
