자치구명,법정동명,신고년도,건물면적,층정보,물건금액,건축년도,건물명,경과년도,브랜드점수,매매지수
광진구,자양동,2016,59.96,6,400000000,1996,한라,25,0,81.5
광진구,자양동,2016,51.57,10,407000000,1988,우성1,33,0,81.5
광진구,자양동,2016,83.11,1,430000000,1993,자양동현대,28,0,81.5
광진구,자양동,2016,84.24,5,350000000,2001,스카이빌1차,20,0,81.5
광진구,구의동,2016,84.88,19,595000000,1996,구의현대2단지,25,0,81.5
광진구,자양동,2016,84.96,4,585000000,1999,자양삼성,22,0,81.5
광진구,자양동,2016,51.57,13,399000000,1989,우성2,32,0,81.5
광진구,구의동,2016,164.72,28,1084000000,2004,아크로리버,17,1,81.5
광진구,구의동,2016,84.92,6,600000000,1994,구의현대6단지,27,0,81.5
광진구,자양동,2016,59.96,1,375000000,1996,한라,25,0,81.5
광진구,자양동,2016,51.39,15,438000000,1989,우성3,32,0,81.5
광진구,자양동,2016,72.34,5,580000000,1989,우성3,32,0,81.5
광진구,자양동,2016,84.9,12,478000000,1996,현대3,25,0,81.5
광진구,광장동,2016,59.93,17,504000000,2001,금호베스트빌,20,0,81.5
광진구,구의동,2016,59.6,8,410000000,2015,파크타운,6,0,81.5
광진구,광장동,2016,59.76,7,535000000,2000,현대파크빌,21,0,81.5
광진구,구의동,2016,74.83,3,443000000,2009,아차산한라아파트,12,0,81.5
광진구,자양동,2016,84.17,4,639000000,2006,이튼타워리버1차,15,0,81.5
광진구,자양동,2016,59.72,1,316000000,1998,자양현대5,23,0,81.5
광진구,구의동,2016,132.08,3,637000000,2001,삼성쉐르빌,20,0,81.5
광진구,자양동,2016,84.45,7,499000000,1991,한강극동,30,0,81.5
광진구,자양동,2016,84.72,16,585000000,1993,한강우성,28,0,81.5
광진구,자양동,2016,84.72,16,585000000,1993,한강우성,28,0,81.5
광진구,구의동,2016,116.36,7,635000000,2007,아차산인앤인W클래스101동,14,0,81.5
광진구,자양동,2016,163.53,43,1360000000,2007,더샵스타시티,14,1,81.5
광진구,구의동,2016,132.77,15,710000000,2001,삼성쉐르빌,20,0,81.5
광진구,자양동,2016,84.65,9,555000000,1999,대동,22,0,81.5
광진구,자양동,2016,59.72,4,370000000,1998,자양현대5,23,0,81.5
광진구,자양동,2016,82.08,8,469000000,1991,현대강변,30,0,81.5
광진구,구의동,2016,183.87,21,1030000000,1997,현대프라임,24,0,81.5
광진구,구의동,2016,126.66,23,970000000,1997,현대프라임,24,0,81.5
광진구,광장동,2016,84.92,4,655000000,1995,"현대8(801동,802동)",26,0,81.5
광진구,광장동,2016,69.0,11,598870000,1987,워커힐푸르지오,34,1,81.5
광진구,광장동,2016,84.96,12,650000000,1999,광장현대9단지,22,0,81.5
광진구,구의동,2016,84.92,1,525000000,1994,구의현대6단지,27,0,81.5
광진구,광장동,2016,130.17,10,1183000000,2012,광장힐스테이트,9,1,81.5
광진구,광장동,2016,59.76,12,557000000,2000,현대파크빌,21,0,81.5
광진구,광장동,2016,84.97,14,712000000,1990,현대3,31,0,81.5
광진구,광장동,2016,84.96,18,675000000,1999,광장현대9단지,22,0,81.5
광진구,광장동,2016,130.17,22,1240000000,2012,광장힐스테이트,9,1,81.5
광진구,구의동,2016,84.76,21,570000000,1992,구의강변우성아파트,29,0,81.5
광진구,구의동,2016,59.97,11,398000000,1997,구의현대7단지현대홈타운,24,0,81.5
광진구,자양동,2016,139.6,35,1267000000,2007,더샵스타시티,14,1,81.5
광진구,광장동,2016,84.92,19,563000000,1996,광나루현대,25,0,81.5
광진구,구의동,2016,84.68,11,585000000,2010,아차산휴먼시아,11,0,81.5
광진구,광장동,2016,84.92,1,478000000,1996,광나루현대,25,0,81.5
광진구,자양동,2016,124.93,12,800000000,1983,한양,38,0,81.5
광진구,광장동,2016,84.92,15,570000000,1996,광나루현대,25,0,81.5
광진구,광장동,2016,84.55,2,760000000,1985,극동1,36,0,81.5
광진구,광장동,2016,130.17,4,1120000000,2012,광장힐스테이트,9,1,81.5
광진구,자양동,2016,84.88,3,365000000,2007,삼성홈타운,14,0,81.5
광진구,구의동,2016,150.64,30,850000000,2004,아크로리버,17,1,81.5
광진구,자양동,2016,80.47,14,660000000,2002,자양8차현대홈타운,19,0,81.5
광진구,자양동,2016,84.72,9,560000000,1993,한강우성,28,0,81.5
광진구,구의동,2016,126.66,26,965000000,1997,현대프라임,24,0,81.5
광진구,자양동,2016,166.93,1,895000000,1983,한양,38,0,81.5
광진구,자양동,2016,51.57,6,375000000,1989,우성2,32,0,81.5
광진구,광장동,2016,59.67,13,475000000,1990,현대3,31,0,81.5
광진구,광장동,2016,166.91,4,1370000000,1978,워커힐,43,0,81.5
광진구,광장동,2016,84.56,7,745000000,1989,현대5,32,0,81.5
광진구,군자동,2016,59.96,3,325000000,1996,일성파크,25,0,81.5
광진구,구의동,2016,84.91,8,585000000,1996,구의현대2단지,25,0,81.5
광진구,구의동,2016,84.75,7,585000000,1996,구의현대2단지,25,0,81.5
광진구,구의동,2016,84.91,2,540000000,1996,구의현대2단지,25,0,81.5
광진구,군자동,2016,79.28,16,445000000,1996,일성파크,25,0,81.5
광진구,광장동,2016,84.95,10,640000000,1996,현대8(803동),25,0,81.5
광진구,자양동,2016,59.46,3,410000000,1997,한강성원,24,0,81.5
광진구,광장동,2016,59.95,6,475000000,1996,청구,25,0,81.5
광진구,자양동,2016,64.79,10,450000000,1989,우성2,32,0,81.5
광진구,구의동,2016,60.39,3,371000000,2009,아차산한라아파트,12,0,81.5
광진구,구의동,2016,84.91,20,650000000,1996,구의현대2단지,25,0,81.5
광진구,자양동,2016,51.57,6,373000000,1989,우성2,32,0,81.5
광진구,자양동,2016,59.98,9,445000000,1999,자양현대6,22,0,81.5
광진구,구의동,2016,84.76,8,535000000,1992,구의강변우성아파트,29,0,81.5
광진구,자양동,2016,107.31,5,680000000,1983,한양,38,0,81.5
광진구,광장동,2016,147.23,3,1075000000,2004,현대홈타운12차,17,0,81.5
광진구,자양동,2016,84.45,5,482000000,1991,한강극동,30,0,81.5
광진구,구의동,2016,84.32,18,608000000,2002,세양,19,0,81.5
광진구,광장동,2016,59.67,14,500000000,1989,현대5,32,0,81.5
광진구,광장동,2016,84.94,2,885000000,2003,광장11현대홈타운,18,0,81.5
광진구,광장동,2016,59.97,17,543000000,1999,광장현대9단지,22,0,81.5
광진구,구의동,2016,59.6,3,409000000,2015,파크타운,6,0,81.5
광진구,구의동,2016,59.26,4,419300000,2015,파크타운,6,0,81.5
광진구,구의동,2016,84.93,15,598000000,1994,구의현대6단지,27,0,81.5
광진구,광장동,2016,84.92,13,660000000,1995,"현대8(801동,802동)",26,0,81.5
광진구,광장동,2016,84.92,22,725000000,1995,"현대8(801동,802동)",26,0,81.5
광진구,광장동,2016,84.55,5,700000000,1989,극동2,32,0,81.5
광진구,광장동,2016,226.45,9,1700000000,1978,워커힐,43,0,81.5
광진구,광장동,2016,84.56,3,670000000,1989,현대5,32,0,81.5
광진구,광장동,2016,84.96,10,665000000,1999,광장현대9단지,22,0,81.5
광진구,광장동,2016,226.45,9,1600000000,1978,워커힐,43,0,81.5
광진구,광장동,2016,226.75,8,1440000000,1997,현대리버빌,24,0,81.5
광진구,광장동,2016,74.92,17,590000000,1990,현대3,31,0,81.5
광진구,광장동,2016,84.55,14,710000000,1989,극동2,32,0,81.5
광진구,구의동,2016,134.23,9,730000000,2009,광진해모로리버뷰,12,0,81.5
광진구,자양동,2016,153.79,11,785000000,2006,광진트라팰리스,15,0,81.5
광진구,자양동,2016,84.92,9,490000000,2006,(779-8),15,0,81.5
광진구,구의동,2016,84.92,11,550000000,1994,구의현대6단지,27,0,81.5
광진구,광장동,2016,84.95,11,650000000,1996,현대8(803동),25,0,81.5
광진구,광장동,2016,74.92,14,580000000,1990,현대3,31,0,81.5
광진구,구의동,2016,144.51,24,720000000,2001,삼성쉐르빌,20,0,81.5
광진구,자양동,2016,138.85,5,800000000,2006,한화꿈에그린,15,0,81.5
광진구,자양동,2016,84.61,11,590000000,2006,한화꿈에그린,15,0,81.5
광진구,자양동,2016,84.96,12,600000000,2003,우방리버파크,18,0,81.5
광진구,자양동,2016,59.87,6,480000000,2003,우방리버파크,18,0,81.5
광진구,구의동,2016,59.6,4,410000000,2015,파크타운,6,0,81.5
광진구,구의동,2016,59.26,6,419300000,2015,파크타운,6,0,81.5
광진구,광장동,2016,75.55,4,600000000,1989,극동2,32,0,81.5
광진구,광장동,2016,84.55,8,659000000,1989,극동2,32,0,81.5
광진구,광장동,2016,59.55,3,570000000,2000,현대파크빌,21,0,81.5
광진구,광장동,2016,59.76,8,545000000,2000,현대파크빌,21,0,81.5
광진구,자양동,2016,84.96,11,568000000,1999,자양삼성,22,0,81.5
광진구,자양동,2016,84.93,21,628000000,1998,자양우성7,23,0,81.5
광진구,광장동,2016,102.61,6,830000000,1989,극동2,32,0,81.5
광진구,중곡동,2016,84.98,8,329000000,1998,성원,23,0,81.5
광진구,구의동,2016,156.73,7,676000000,2001,삼성쉐르빌,20,0,81.5
광진구,자양동,2016,83.38,3,465000000,2002,한솔리베르,19,0,81.5
광진구,자양동,2016,84.72,17,600000000,1993,한강우성,28,0,81.5
광진구,광장동,2016,59.67,2,410000000,1990,현대3,31,0,81.5
광진구,중곡동,2016,57.88,2,234000000,1976,중곡1단지,45,0,81.5
광진구,자양동,2016,84.65,4,532000000,1999,대동,22,0,81.5
광진구,자양동,2016,50.25,2,320000000,1981,자양,40,0,81.5
광진구,자양동,2016,51.57,10,400000000,1988,우성1,33,0,81.5
광진구,화양동,2016,65.09,9,348000000,2006,브라운스톤,15,0,81.5
광진구,구의동,2016,84.92,1,480000000,1994,구의현대6단지,27,0,81.5
광진구,자양동,2016,59.96,18,429000000,1996,한라,25,0,81.5
광진구,자양동,2016,84.96,14,686000000,2003,우방리버파크,18,0,81.5
광진구,자양동,2016,139.54,12,1100000000,2007,더샵스타시티,14,1,81.5
광진구,자양동,2016,80.1,13,540000000,1989,우성2,32,0,81.5
광진구,자양동,2016,73.37,7,445000000,2003,청정(A),18,0,81.5
광진구,구의동,2016,84.88,10,600000000,1996,구의현대2단지,25,0,81.5
광진구,광장동,2016,84.81,5,745000000,2000,현대파크빌,21,0,81.5
광진구,구의동,2016,84.91,1,490000000,2000,새한,21,0,81.5
광진구,화양동,2016,15.63,8,163000000,2014,광진코지웰,7,0,81.5
광진구,자양동,2016,51.57,5,380000000,1988,우성1,33,0,81.5
광진구,자양동,2016,80.47,5,659000000,2002,자양8차현대홈타운,19,0,81.5
광진구,구의동,2016,183.87,3,900000000,1997,현대프라임,24,0,81.5
광진구,광장동,2016,84.55,8,670000000,1989,극동2,32,0,81.5
광진구,광장동,2016,84.96,1,603850000,1999,광장현대9단지,22,0,81.5
광진구,자양동,2016,84.65,6,500000000,1999,대동,22,0,81.5
광진구,구의동,2016,84.91,3,580000000,1996,구의현대2단지,25,0,81.5
광진구,구의동,2016,84.86,6,597000000,1996,구의현대2단지,25,0,81.5
광진구,자양동,2016,69.08,13,430000000,2005,구의역현대하이엘,16,0,81.5
광진구,자양동,2016,114.63,23,640000000,1998,자양현대5,23,0,81.5
광진구,구의동,2016,84.88,13,571000000,1996,구의현대2단지,25,0,81.5
광진구,자양동,2016,84.9,21,485000000,1996,현대3,25,0,81.5
