자치구명,법정동명,신고년도,건물면적,층정보,물건금액,건축년도,건물명,경과년도,브랜드점수,매매지수
구로구,개봉동,2016,67.36,5,200000000,1989,동인,32,0,81.7
구로구,천왕동,2016,59.94,9,420000000,2011,천왕이펜하우스1단지,10,0,81.7
구로구,신도림동,2016,84.94,26,420000000,2006,신도림팰러티움,15,0,81.7
구로구,오류동,2016,59.87,9,340000000,2006,오류동금호어울림,15,0,81.7
구로구,고척동,2016,60.0,15,410000000,2004,삼환로즈빌,17,0,81.7
구로구,구로동,2016,12.18,6,105000000,2013,비즈트위트 오렌지,8,0,81.7
구로구,개봉동,2016,59.89,3,227000000,1993,거성푸르뫼1,28,0,81.7
구로구,고척동,2016,84.56,5,340000000,1994,센츄리,27,0,81.7
구로구,개봉동,2016,59.99,19,410000000,2006,개봉동현대아이파크,15,1,81.7
구로구,개봉동,2016,59.89,13,232000000,1993,거성푸르뫼1,28,0,81.7
구로구,개봉동,2016,132.68,3,350000000,1994,거성푸르뫼2,27,0,81.7
구로구,개봉동,2016,59.9,17,234000000,1994,거성푸르뫼2,27,0,81.7
구로구,구로동,2016,51.84,10,310000000,1998,구로두산,23,0,81.7
구로구,개봉동,2016,84.96,13,306000000,1994,거성푸르뫼2,27,0,81.7
구로구,오류동,2016,84.98,5,365000000,2009,서해그랑블,12,0,81.7
구로구,구로동,2016,59.34,11,328000000,1995,우성(1058),26,0,81.7
구로구,구로동,2016,70.52,7,331000000,1987,중앙하이츠,34,0,81.7
구로구,고척동,2016,68.7,1,208000000,1987,"우성,현대아파트",34,0,81.7
구로구,고척동,2016,84.99,14,400000000,1999,대우,22,0,81.7
구로구,개봉동,2016,59.94,4,410000000,2001,현대,20,0,81.7
구로구,구로동,2016,21.73,16,155000000,2011,하나세인스톤1차,10,0,81.7
구로구,온수동,2016,59.96,3,364000000,2010,온수힐스테이트,11,1,81.7
구로구,구로동,2016,84.96,12,410000000,2006,한일유앤아이,15,0,81.7
구로구,고척동,2016,43.74,3,170000000,1977,삼명,44,0,81.7
구로구,구로동,2016,32.39,12,177000000,1987,주공2,34,0,81.7
구로구,구로동,2016,36.88,18,289000000,2006,구로두산위브,15,0,81.7
구로구,구로동,2016,55.44,4,160000000,1995,(797-15),26,0,81.7
구로구,오류동,2016,106.42,4,430000000,2008,더메디치,13,0,81.7
구로구,개봉동,2016,72.22,3,225000000,2005,수영힐(나동),16,0,81.7
구로구,신도림동,2016,59.98,14,485000000,1999,동아1,22,0,81.7
구로구,구로동,2016,57.33,3,237000000,1988,성락,33,0,81.7
구로구,고척동,2016,59.97,8,283500000,1999,대우,22,0,81.7
구로구,고척동,2016,59.96,2,260000000,1999,경남2,22,0,81.7
