자치구명,법정동명,신고년도,건물면적,층정보,물건금액,건축년도,건물명,경과년도,브랜드점수,매매지수
금천구,시흥동,2016,114.89,15,415000000,2002,우방,19,0,84.9
금천구,독산동,2016,70.05,2,230000000,2005,힐탑아파트4차(894-5),16,0,84.9
금천구,시흥동,2016,59.34,10,285000000,2004,관악산벽산타운5,17,0,84.9
금천구,시흥동,2016,59.82,12,440000000,2014,남서울힐스테이트,7,1,84.9
금천구,시흥동,2016,114.84,1,365000000,2004,관악산벽산타운5,17,0,84.9
금천구,시흥동,2016,84.79,23,530000000,2014,남서울힐스테이트,7,1,84.9
금천구,독산동,2016,83.73,3,360000000,1999,독산현대,22,0,84.9
금천구,가산동,2016,62.53,3,195000000,2001,원평5차,20,0,84.9
금천구,시흥동,2016,41.22,3,225000000,1981,럭키남서울아파트,40,0,84.9
금천구,시흥동,2016,84.68,14,509000000,2014,남서울힐스테이트,7,1,84.9
금천구,독산동,2016,44.89,8,238000000,1990,독산주공14단지,31,0,84.9
금천구,시흥동,2016,59.82,2,409000000,2014,남서울힐스테이트,7,1,84.9
금천구,독산동,2016,89.46,4,370000000,1991,한신아파트,30,0,84.9
금천구,독산동,2016,89.46,6,370000000,1991,한신아파트,30,0,84.9
금천구,시흥동,2016,41.23,1,218000000,1981,럭키남서울아파트,40,0,84.9
금천구,독산동,2016,59.22,6,305000000,1990,독산주공14단지,31,0,84.9
금천구,시흥동,2016,114.84,5,377000000,2004,관악산벽산타운5,17,0,84.9
금천구,시흥동,2016,53.75,6,282000000,1980,무지개,41,0,84.9
금천구,가산동,2016,134.95,6,425000000,1998,두산,23,0,84.9
금천구,독산동,2016,35.61,1,123000000,1989,중앙아파트,32,0,84.9
금천구,시흥동,2016,113.33,14,590000000,2014,남서울힐스테이트,7,1,84.9
금천구,시흥동,2016,84.79,22,514000000,2014,남서울힐스테이트,7,1,84.9
금천구,시흥동,2016,79.42,3,321000000,1986,성지,35,0,84.9
금천구,시흥동,2016,59.82,11,430000000,2014,남서울힐스테이트,7,1,84.9
금천구,시흥동,2016,84.99,15,330000000,2000,벽산,21,0,84.9
금천구,시흥동,2016,114.84,1,326000000,2000,벽산,21,0,84.9
금천구,시흥동,2016,61.15,15,250000000,1989,남서울건영2,32,0,84.9
