자치구명,법정동명,신고년도,건물면적,층정보,물건금액,건축년도,건물명,경과년도,브랜드점수,매매지수
노원구,월계동,2016,71.83,3,241000000,1983,동신,38,0,81.7
노원구,상계동,2016,58.01,5,291000000,1987,상계주공2(고층),34,0,81.7
노원구,월계동,2016,50.18,11,227000000,1987,삼호4,34,0,81.7
노원구,상계동,2016,45.77,7,207000000,1988,상계주공16(고층),33,0,81.7
노원구,상계동,2016,41.3,13,200000000,1988,상계주공9(고층),33,0,81.7
노원구,월계동,2016,114.97,24,482000000,2002,한진한화그랑빌,19,0,81.7
노원구,월계동,2016,84.97,13,423000000,2002,한진한화그랑빌,19,0,81.7
노원구,상계동,2016,47.34,4,245000000,1988,상계주공10(저층),33,0,81.7
노원구,상계동,2016,45.55,5,190000000,1989,상계주공14(고층),32,0,81.7
노원구,공릉동,2016,49.6,14,270000000,1999,태강아파트,22,0,81.7
노원구,월계동,2016,84.97,20,403000000,2002,한진한화그랑빌,19,0,81.7
노원구,상계동,2016,49.94,6,280000000,1988,상계주공9(고층),33,0,81.7
노원구,월계동,2016,84.97,24,410000000,2002,한진한화그랑빌,19,0,81.7
노원구,공릉동,2016,85.0,10,395000000,2004,신성미소지움아파트,17,0,81.7
노원구,공릉동,2016,49.6,15,247000000,1999,태강아파트,22,0,81.7
노원구,상계동,2016,61.52,2,300000000,1988,상계주공12(고층),33,0,81.7
노원구,공릉동,2016,84.09,10,330000000,1999,현대(고려)아파트,22,0,81.7
노원구,상계동,2016,60.5,1,240000000,1988,상계주공1(고층),33,0,81.7
노원구,상계동,2016,53.96,10,229000000,1987,한신1차,34,0,81.7
노원구,상계동,2016,49.94,10,268000000,1988,상계주공12(고층),33,0,81.7
노원구,공릉동,2016,86.0,1,400000000,1984,현대아파트,37,0,81.7
노원구,중계동,2016,84.99,4,344000000,1998,현대그린,23,0,81.7
노원구,상계동,2016,59.4,1,250000000,1999,불암현대,22,0,81.7
노원구,중계동,2016,84.9,9,580000000,1995,건영3,26,0,81.7
노원구,상계동,2016,59.39,10,264000000,1988,상계주공16(고층),33,0,81.7
노원구,상계동,2016,38.52,3,281000000,1988,상계주공8(저층),33,0,81.7
노원구,상계동,2016,59.67,6,269000000,1989,상계대림,32,0,81.7
노원구,상계동,2016,59.67,12,255000000,1989,상계대림,32,0,81.7
노원구,하계동,2016,84.77,17,445000000,1999,학여울청구,22,0,81.7
노원구,공릉동,2016,59.4,9,265000000,2000,공릉동 한보에센시티아파트,21,0,81.7
노원구,중계동,2016,58.46,15,294000000,1992,주공5,29,0,81.7
노원구,하계동,2016,59.4,2,309000000,1999,학여울청구,22,0,81.7
노원구,공릉동,2016,84.93,12,395000000,2000,공릉동 한보에센시티아파트,21,0,81.7
노원구,하계동,2016,44.52,3,244000000,1988,한신1,33,0,81.7
노원구,상계동,2016,32.39,8,180000000,1988,상계주공1(고층),33,0,81.7
노원구,하계동,2016,59.4,9,319000000,1999,학여울청구,22,0,81.7
노원구,월계동,2016,84.94,12,370000000,1999,한일1,22,0,81.7
노원구,중계동,2016,131.25,11,485000000,1996,염광,25,0,81.7
노원구,상계동,2016,59.95,12,279000000,1997,수락한신,24,0,81.7
노원구,상계동,2016,87.57,1,345000000,1988,미도,33,0,81.7
노원구,상계동,2016,59.4,9,263000000,1999,동아불암,22,0,81.7
노원구,월계동,2016,84.85,8,362000000,2000,한일2,21,0,81.7
노원구,공릉동,2016,60.5,2,326000000,2000,우방아파트,21,0,81.7
노원구,공릉동,2016,99.92,6,535000000,2000,효성화운트빌아파트,21,0,81.7
노원구,상계동,2016,84.81,5,380000000,2009,수락리버시티3단지,12,0,81.7
