자치구명,법정동명,신고년도,건물면적,층정보,물건금액,건축년도,건물명,경과년도,브랜드점수,매매지수
도봉구,창동,2016,45.9,6,210000000,1988,창동주공18단지,33,0,83.8
도봉구,창동,2016,134.94,13,590000000,1997,동아청솔,24,0,83.8
도봉구,방학동,2016,84.97,2,298000000,1994,청구아파트,27,0,83.8
도봉구,쌍문동,2016,190.55,5,430000000,1998,피스플하우스,23,0,83.8
도봉구,쌍문동,2016,35.1,14,160000000,1988,한양2,33,0,83.8
도봉구,도봉동,2016,84.86,1,270000000,1992,럭키,29,0,83.8
도봉구,창동,2016,84.76,23,442000000,1997,쌍용,24,0,83.8
도봉구,창동,2016,118.03,7,515000000,2002,창동한신휴플러스(621-69),19,0,83.8
도봉구,쌍문동,2016,84.98,7,450000000,2014,북한산 코오롱 하늘채,7,0,83.8
도봉구,쌍문동,2016,59.98,1,345000000,2014,북한산 코오롱 하늘채,7,0,83.8
도봉구,창동,2016,45.9,9,218000000,1988,창동주공18단지,33,0,83.8
도봉구,쌍문동,2016,85.0,7,310000000,1993,현대2,28,0,83.8
도봉구,도봉동,2016,84.83,1,265000000,1991,극동,30,0,83.8
도봉구,창동,2016,49.77,8,218000000,1998,신창,23,0,83.8
도봉구,창동,2016,84.87,3,403000000,1992,삼성래미안,29,1,83.8
도봉구,창동,2016,84.87,3,423000000,1992,삼성래미안,29,1,83.8
도봉구,창동,2016,49.94,2,236000000,1991,창동주공4단지,30,0,83.8
도봉구,창동,2016,41.3,6,200000000,1991,창동주공4단지,30,0,83.8
도봉구,창동,2016,36.16,4,166000000,1991,창동주공4단지,30,0,83.8
도봉구,도봉동,2016,84.55,11,410000000,2005,래미안도봉,16,1,83.8
도봉구,창동,2016,36.16,2,165000000,1989,주공17단지,32,0,83.8
도봉구,도봉동,2016,84.55,7,430000000,2005,래미안도봉,16,1,83.8
도봉구,방학동,2016,60.0,17,385000000,2001,대상타운현대아파트,20,0,83.8
도봉구,쌍문동,2016,84.53,13,275000000,1987,동익미라벨,34,0,83.8
도봉구,쌍문동,2016,84.75,15,405000000,2007,e편한세상,14,0,83.8
도봉구,쌍문동,2016,84.98,12,445000000,2014,북한산 코오롱 하늘채,7,0,83.8
도봉구,창동,2016,134.94,12,578000000,1997,동아청솔,24,0,83.8
도봉구,쌍문동,2016,35.1,8,167000000,1988,한양2,33,0,83.8
도봉구,창동,2016,101.92,22,548000000,2004,북한산아이파크5차,17,1,83.8
도봉구,쌍문동,2016,55.5,4,180000000,1989,대웅,32,0,83.8
도봉구,창동,2016,36.16,1,160000000,1989,주공17단지,32,0,83.8
도봉구,쌍문동,2016,42.93,13,184000000,1988,삼익세라믹,33,0,83.8
도봉구,쌍문동,2016,42.93,13,205000000,1988,삼익세라믹,33,0,83.8
도봉구,창동,2016,49.94,4,285000000,1991,창동주공4단지,30,0,83.8
도봉구,창동,2016,59.86,12,308500000,2004,수산트리플,17,0,83.8
도봉구,도봉동,2016,84.94,7,340000000,1995,한신,26,0,83.8
도봉구,창동,2016,41.3,6,200000000,1991,창동주공4단지,30,0,83.8
도봉구,방학동,2016,84.9,12,390000000,2003,브라운스톤방학아파트,18,0,83.8
도봉구,창동,2016,84.41,4,340000000,1988,창동주공18단지,33,0,83.8
도봉구,방학동,2016,60.0,13,383000000,2001,대상타운현대아파트,20,0,83.8
도봉구,방학동,2016,84.78,16,482500000,2001,대상타운현대아파트,20,0,83.8
도봉구,쌍문동,2016,84.63,10,370000000,1996,청구,25,0,83.8
도봉구,창동,2016,61.52,4,320000000,1988,주공19단지(창동 리버타운),33,0,83.8
도봉구,쌍문동,2016,76.92,12,294000000,1988,한양2,33,0,83.8
도봉구,방학동,2016,131.34,13,510000000,2005,동부센트레빌아파트,16,0,83.8
도봉구,쌍문동,2016,84.86,4,318000000,1993,한양7,28,0,83.8
도봉구,창동,2016,45.47,3,208000000,2005,미소애,16,0,83.8
도봉구,도봉동,2016,49.77,5,222000000,1996,서원,25,0,83.8
도봉구,창동,2016,45.47,7,209000000,2005,미소애,16,0,83.8
도봉구,창동,2016,84.98,19,440000000,2003,대림e-편한세상,18,0,83.8
도봉구,창동,2016,36.16,10,169000000,1991,창동주공4단지,30,0,83.8
도봉구,창동,2016,84.45,16,499000000,2004,북한산아이파크5차,17,1,83.8
도봉구,창동,2016,59.5,8,369000000,2001,창동2차현대,20,0,83.8
도봉구,창동,2016,36.16,4,169000000,1989,주공17단지,32,0,83.8
도봉구,창동,2016,109.63,1,444000000,1992,서울가든,29,0,83.8
도봉구,창동,2016,84.87,7,402500000,1992,삼성래미안,29,1,83.8
도봉구,창동,2016,45.47,3,200000000,2005,미소애,16,0,83.8
도봉구,창동,2016,45.47,3,200000000,2005,미소애,16,0,83.8
도봉구,창동,2016,45.47,3,200000000,2005,미소애,16,0,83.8
도봉구,창동,2016,45.47,9,240000000,2005,미소애,16,0,83.8
도봉구,창동,2016,45.47,9,240000000,2005,미소애,16,0,83.8
도봉구,창동,2016,18.14,8,124800000,2013,월가타워,8,0,83.8
도봉구,창동,2016,56.39,9,302000000,2002,LIG건영캐스빌,19,0,83.8
도봉구,창동,2016,111.22,21,517000000,2007,북한산한신휴플러스,14,0,83.8
도봉구,쌍문동,2016,50.58,10,290000000,1986,한양1,35,0,83.8
도봉구,쌍문동,2016,28.71,12,135000000,1988,한양2,33,0,83.8
도봉구,쌍문동,2016,35.1,4,158500000,1988,한양2,33,0,83.8
도봉구,창동,2016,84.93,9,330000000,1997,금용,24,0,83.8
도봉구,창동,2016,41.3,6,220000000,1990,창동주공1단지,31,0,83.8
도봉구,창동,2016,84.76,4,450000000,1997,쌍용,24,0,83.8
도봉구,도봉동,2016,75.33,9,270000000,1987,서울가든,34,0,83.8
도봉구,창동,2016,59.5,9,370000000,2001,창동2차현대,20,0,83.8
도봉구,창동,2016,84.76,3,430000000,1997,쌍용,24,0,83.8
도봉구,창동,2016,84.5,23,418000000,2001,창동2차현대,20,0,83.8
도봉구,쌍문동,2016,59.99,1,303000000,2002,쌍문동삼성래미안,19,1,83.8
도봉구,방학동,2016,84.97,14,346000000,1994,청구아파트,27,0,83.8
도봉구,창동,2016,84.99,6,465000000,2004,금호어울림,17,0,83.8
도봉구,방학동,2016,70.62,12,256000000,1986,신동아아파트1,35,0,83.8
도봉구,창동,2016,59.91,3,269000000,2000,현대조합,21,0,83.8
도봉구,창동,2016,134.79,9,700000000,2004,북한산아이파크5차,17,1,83.8
도봉구,창동,2016,119.17,10,596500000,2004,북한산아이파크5차,17,1,83.8
도봉구,방학동,2016,60.0,10,376000000,2001,대상타운현대아파트,20,0,83.8
도봉구,쌍문동,2016,84.54,11,260000000,1995,쌍문금용,26,0,83.8
도봉구,방학동,2016,83.85,4,298000000,1992,우성아파트1,29,0,83.8
도봉구,창동,2016,59.96,9,330000000,1996,동아그린,25,0,83.8
도봉구,창동,2016,45.55,5,245000000,1990,창동주공2단지,31,0,83.8
도봉구,쌍문동,2016,83.86,9,330000000,2002,한양6,19,0,83.8
도봉구,창동,2016,85.0,18,468000000,2003,태영데시앙,18,0,83.8
도봉구,방학동,2016,53.16,5,224000000,1986,신동아아파트1,35,0,83.8
도봉구,쌍문동,2016,84.88,2,306000000,1990,금호1,31,0,83.8
도봉구,창동,2016,85.0,19,425000000,2003,태영데시앙,18,0,83.8
도봉구,쌍문동,2016,65.37,17,267000000,1991,한양5,30,0,83.8
도봉구,창동,2016,56.39,4,303000000,2002,LIG건영캐스빌,19,0,83.8
도봉구,창동,2016,90.94,14,430000000,1988,주공19단지(창동 리버타운),33,0,83.8
도봉구,방학동,2016,60.0,9,250000000,1997,신동아타워아파트,24,0,83.8
도봉구,방학동,2016,84.82,12,302000000,1992,신동아아파트2,29,0,83.8
도봉구,방학동,2016,53.16,12,223000000,1986,신동아아파트1,35,0,83.8
도봉구,창동,2016,45.77,8,235000000,1988,창동주공18단지,33,0,83.8
도봉구,쌍문동,2016,84.83,2,300000000,1995,현대3,26,0,83.8
도봉구,쌍문동,2016,84.83,4,289000000,1995,현대3,26,0,83.8
도봉구,창동,2016,41.3,2,198000000,1991,창동주공4단지,30,0,83.8
도봉구,방학동,2016,84.98,8,430000000,2005,동부센트레빌아파트,16,0,83.8
도봉구,쌍문동,2016,64.27,2,215000000,2001,신건영주택A,20,0,83.8
