자치구명,법정동명,신고년도,건물면적,층정보,물건금액,건축년도,건물명,경과년도,브랜드점수,매매지수
동대문구,이문동,2016,84.97,2,447000000,2003,대림e-편한세상,18,0,83.6
동대문구,제기동,2016,96.96,11,402000000,1977,경동미주,44,0,83.6
동대문구,장안동,2016,58.93,6,260000000,2004,대성하이빌(A동),17,0,83.6
동대문구,장안동,2016,80.53,13,383780000,2013,서희스타힐스,8,0,83.6
동대문구,장안동,2016,83.21,9,360000000,2013,서희스타힐스,8,0,83.6
동대문구,전농동,2016,57.9,10,283000000,1997,동아,24,0,83.6
동대문구,장안동,2016,64.85,15,400000000,2007,래미안장안2차,14,1,83.6
동대문구,제기동,2016,116.69,15,498000000,2003,안암골벽산,18,0,83.6
동대문구,이문동,2016,84.61,14,458000000,2004,래미안이문2차,17,1,83.6
동대문구,회기동,2016,84.99,11,509000000,2011,회기힐스테이트,10,1,83.6
동대문구,용두동,2016,59.43,6,419000000,2009,롯데캐슬피렌체,12,1,83.6
동대문구,청량리동,2016,114.95,9,410000000,1997,한신,24,0,83.6
동대문구,답십리동,2016,76.41,13,330000000,1989,동서울한양,32,0,83.6
동대문구,용두동,2016,47.99,8,265000000,2004,신설동역대우아이빌1,17,0,83.6
동대문구,용두동,2016,84.97,14,410000000,2004,신설동역대우아이빌1,17,0,83.6
동대문구,이문동,2016,84.84,3,400000000,2008,신이문 금호어울림,13,0,83.6
동대문구,청량리동,2016,101.65,9,437000000,1978,미주,43,0,83.6
동대문구,휘경동,2016,84.87,2,359000000,1999,휘경미소지움,22,0,83.6
동대문구,답십리동,2016,84.86,2,399500000,2001,답십리한화,20,0,83.6
동대문구,답십리동,2016,46.53,14,238000000,1987,신답극동,34,0,83.6
동대문구,답십리동,2016,59.74,21,447000000,2010,청계한신휴플러스,11,0,83.6
동대문구,전농동,2016,55.37,11,380000000,2005,전농동신성미소지움,16,0,83.6
동대문구,이문동,2016,59.99,21,322000000,2000,쌍용,21,0,83.6
동대문구,전농동,2016,55.37,8,348000000,2005,전농동신성미소지움,16,0,83.6
동대문구,회기동,2016,120.31,7,640000000,2011,회기힐스테이트,10,1,83.6
동대문구,장안동,2016,84.86,2,298000000,2005,(아이엔에스새터),16,0,83.6
동대문구,장안동,2016,82.85,2,344000000,2005,대명이룸(565-0),16,0,83.6
동대문구,청량리동,2016,59.7,16,355000000,2001,홍릉동부,20,0,83.6
동대문구,장안동,2016,133.72,20,635000000,2003,장안현대홈타운(336),18,0,83.6
동대문구,답십리동,2016,46.53,1,210000000,1987,신답극동,34,0,83.6
동대문구,답십리동,2016,84.91,7,470000000,2007,두산위브,14,0,83.6
동대문구,휘경동,2016,84.86,9,418000000,2001,주공1,20,0,83.6
동대문구,제기동,2016,15.28,4,139000000,2014,어진재,7,0,83.6
동대문구,전농동,2016,114.3,5,490000000,2000,전농SK,21,0,83.6
동대문구,이문동,2016,59.79,5,380000000,2004,래미안이문2차,17,1,83.6
동대문구,장안동,2016,17.56,4,121000000,2013,장안푸르미에,8,0,83.6
동대문구,청량리동,2016,59.97,19,260000000,1997,한신,24,0,83.6
동대문구,이문동,2016,59.99,8,325000000,2000,쌍용,21,0,83.6
동대문구,장안동,2016,30.08,10,180000000,2014,태솔타운3차,7,0,83.6
동대문구,장안동,2016,12.95,3,122000000,2013,장안푸르미에,8,0,83.6
동대문구,장안동,2016,81.05,12,460000000,2007,래미안장안2차,14,1,83.6
동대문구,청량리동,2016,170.31,11,630000000,1978,미주,43,0,83.6
동대문구,이문동,2016,59.79,13,330000000,2004,래미안이문2차,17,1,83.6
동대문구,제기동,2016,116.69,10,506000000,2003,안암골벽산,18,0,83.6
동대문구,이문동,2016,84.98,6,399800000,2007,이문2차푸르지오,14,1,83.6
동대문구,전농동,2016,55.37,3,325000000,2005,전농동신성미소지움,16,0,83.6
동대문구,제기동,2016,15.28,2,139000000,2014,어진재,7,0,83.6
동대문구,용두동,2016,84.5,2,547500000,2015,용두롯데캐슬리치,6,1,83.6
