자치구명,법정동명,신고년도,건물면적,층정보,물건금액,건축년도,건물명,경과년도,브랜드점수,매매지수
동작구,흑석동,2016,83.48,2,730000000,1988,한강현대,33,0,78.5
동작구,사당동,2016,59.89,7,488000000,1993,사당우성3,28,0,78.5
동작구,사당동,2016,84.66,15,520000000,1993,사당우성2,28,0,78.5
동작구,사당동,2016,59.96,14,335000000,1991,현대,30,0,78.5
동작구,사당동,2016,59.9,14,385000000,1998,경남아너스빌2차,23,0,78.5
동작구,흑석동,2016,115.35,8,850000000,1988,한강현대,33,0,78.5
동작구,흑석동,2016,112.29,4,705000000,1988,명수대현대,33,0,78.5
동작구,사당동,2016,59.96,1,308000000,1991,현대,30,0,78.5
동작구,사당동,2016,84.96,18,570000000,2003,롯데캐슬,18,1,78.5
동작구,사당동,2016,72.59,6,410000000,2006,세림아파트(43-71),15,0,78.5
동작구,신대방동,2016,59.47,5,315000000,1995,우성2,26,0,78.5
동작구,상도동,2016,59.99,15,495000000,2007,포스코더샵,14,1,78.5
동작구,상도동,2016,114.97,2,681500000,2004,래미안상도3차,17,1,78.5
동작구,상도동,2016,84.99,3,540000000,2014,상도더샵2차,7,1,78.5
동작구,노량진동,2016,59.67,21,368000000,2001,신동아리버파크,20,0,78.5
동작구,상도동,2016,84.71,2,385000000,2006,상도갑을명가1차,15,0,78.5
동작구,신대방동,2016,113.93,11,600000000,2001,경남교수,20,0,78.5
동작구,신대방동,2016,84.73,3,565000000,2002,보라매파크빌,19,0,78.5
동작구,동작동,2016,84.95,10,558000000,2003,금강KCC,18,0,78.5
동작구,사당동,2016,51.57,11,392000000,1993,극동(105),28,0,78.5
동작구,본동,2016,46.75,2,269000000,1993,신동아,28,0,78.5
동작구,상도동,2016,84.95,15,672330000,2016,상도 효성해링턴플레이스,5,0,78.5
동작구,상도동,2016,84.86,11,590000000,2016,두산위브트레지움2차,5,0,78.5
동작구,본동,2016,84.46,5,425000000,1993,신동아,28,0,78.5
동작구,흑석동,2016,84.84,14,720000000,2011,흑석한강센트레빌,10,0,78.5
동작구,상도동,2016,84.8,18,650000000,2016,두산위브트레지움2차,5,0,78.5
동작구,노량진동,2016,84.88,18,495000000,2001,신동아리버파크,20,0,78.5
동작구,대방동,2016,59.84,4,440000000,1993,대림아파트,28,0,78.5
동작구,동작동,2016,108.34,5,928000000,2013,이수힐스테이트,8,1,78.5
동작구,흑석동,2016,59.84,6,597000000,2012,흑석한강푸르지오,9,1,78.5
동작구,사당동,2016,46.75,2,325000000,1993,극동(105),28,0,78.5
동작구,사당동,2016,46.75,5,339000000,1993,사당우성3,28,0,78.5
동작구,본동,2016,56.68,4,365000000,2004,경동윈츠리버,17,0,78.5
동작구,본동,2016,59.98,16,490000000,2004,삼성래미안,17,1,78.5
동작구,흑석동,2016,84.95,14,690000000,2012,흑석한강센트레빌Ⅱ,9,0,78.5
동작구,흑석동,2016,59.66,6,348000000,2003,우리유앤미,18,0,78.5
동작구,사당동,2016,73.19,3,310000000,2003,닷컴캐슬,18,0,78.5
동작구,사당동,2016,59.89,2,430000000,1993,사당우성2,28,0,78.5
동작구,본동,2016,59.98,9,400000000,2004,삼성래미안,17,1,78.5
동작구,상도동,2016,84.86,18,665000000,2016,두산위브트레지움2차,5,0,78.5
동작구,사당동,2016,84.96,1,518000000,2003,롯데캐슬,18,1,78.5
동작구,상도동,2016,84.96,14,626000000,2004,래미안상도3차,17,1,78.5
동작구,상도동,2016,59.89,8,474000000,2003,삼성래미안2,18,1,78.5
동작구,대방동,2016,84.32,15,550000000,1994,성원,27,0,78.5
동작구,대방동,2016,84.32,22,540000000,1994,성원,27,0,78.5
동작구,상도동,2016,59.99,8,498000000,2007,포스코더샵,14,1,78.5
동작구,사당동,2016,84.46,12,585000000,1993,신동아4,28,0,78.5
동작구,대방동,2016,51.66,8,312000000,1995,주공2,26,0,78.5
