자치구명,법정동명,신고년도,건물면적,층정보,물건금액,건축년도,건물명,경과년도,브랜드점수,매매지수
마포구,성산동,2016,59.69,6,280000000,1999,대원,22,0,77.9
마포구,망원동,2016,59.43,2,318000000,1999,성원2,22,0,77.9
마포구,토정동,2016,84.96,23,600000000,1997,한강삼성,24,0,77.9
마포구,용강동,2016,84.7,18,705000000,2004,대림2차,17,0,77.9
마포구,망원동,2016,84.96,8,527000000,2004,휴먼빌,17,0,77.9
마포구,용강동,2016,84.77,10,688000000,2004,대림2차,17,0,77.9
마포구,도화동,2016,72.19,13,587000000,1997,삼성,24,0,77.9
마포구,도화동,2016,136.1,12,815000000,1997,삼성,24,0,77.9
마포구,상수동,2016,84.79,7,620000000,2004,두산위브,17,0,77.9
마포구,망원동,2016,48.26,4,187000000,1976,성신,45,0,77.9
마포구,아현동,2016,84.98,7,441060000,1970,예미원,51,0,77.9
마포구,망원동,2016,47.58,2,184000000,1976,성신,45,0,77.9
마포구,창전동,2016,84.99,7,625000000,2007,서강예가,14,0,77.9
마포구,창전동,2016,84.99,11,600000000,2007,서강예가,14,0,77.9
마포구,대흥동,2016,114.93,23,700000000,1999,마포태영,22,0,77.9
마포구,도화동,2016,141.52,7,700000000,1991,우성,30,0,77.9
마포구,신정동,2016,59.98,8,450000000,1999,서강GS,22,0,77.9
마포구,신정동,2016,84.97,6,530000000,1999,서강GS,22,0,77.9
마포구,연남동,2016,67.08,3,347000000,2004,서암,17,0,77.9
마포구,신정동,2016,59.98,17,485000000,1999,서강GS,22,0,77.9
마포구,상암동,2016,84.9,10,639000000,2005,상암월드컵파크7단지,16,0,77.9
마포구,성산동,2016,59.69,17,290000000,1999,대원,22,0,77.9
마포구,중동,2016,78.39,15,410000000,2002,건영월드컵,19,0,77.9
마포구,현석동,2016,59.78,14,490000000,2004,강변힐스테이트,17,1,77.9
마포구,신수동,2016,84.95,2,500000000,2007,마포경남아너스빌,14,0,77.9
마포구,성산동,2016,84.69,9,495000000,2004,성산월드타운대림,17,0,77.9
마포구,상암동,2016,84.91,7,635000000,2009,휴먼시아1단지,12,0,77.9
마포구,서교동,2016,136.14,3,680000000,2005,광남벨라스2차,16,0,77.9
마포구,공덕동,2016,59.97,8,593000000,2004,공덕3삼성래미안,17,1,77.9
마포구,신공덕동,2016,115.08,13,800000000,2011,펜트라우스,10,0,77.9
마포구,성산동,2016,50.03,2,375000000,1986,성산시영(대우),35,0,77.9
마포구,공덕동,2016,83.42,12,649000000,2005,래미안공덕4차,16,1,77.9
마포구,연남동,2016,102.16,3,556000000,2003,코오롱,18,0,77.9
마포구,연남동,2016,84.94,2,500000000,2003,코오롱,18,0,77.9
마포구,망원동,2016,59.97,4,330000000,2000,대상4,21,0,77.9
마포구,공덕동,2016,84.98,8,725000000,2004,공덕3삼성래미안,17,1,77.9
마포구,공덕동,2016,59.97,5,580000000,2004,공덕3삼성래미안,17,1,77.9
