자치구명,법정동명,신고년도,건물면적,층정보,물건금액,건축년도,건물명,경과년도,브랜드점수,매매지수
서대문구,연희동,2016,52.23,1,294500000,1981,홍연,40,0,84.0
서대문구,홍은동,2016,58.5,1,248000000,1990,풍림2,31,0,84.0
서대문구,연희동,2016,49.59,5,157000000,1971,은하,50,0,84.0
서대문구,창천동,2016,84.41,4,395000000,2003,래디앙,18,0,84.0
서대문구,연희동,2016,59.96,18,340000000,1999,임광,22,0,84.0
서대문구,홍은동,2016,49.26,3,145000000,1988,초원,33,0,84.0
서대문구,연희동,2016,79.26,7,350000000,2006,드리밍,15,0,84.0
서대문구,연희동,2016,59.61,15,375000000,2001,성원,20,0,84.0
서대문구,연희동,2016,59.61,17,372000000,2001,성원,20,0,84.0
서대문구,충정로,2016,55.57,5,200000000,1969,미동,52,0,84.0
서대문구,북아현동,2016,59.96,1,358000000,1999,두산,22,0,84.0
서대문구,홍제동,2016,52.53,3,170000000,1973,광산,48,0,84.0
서대문구,홍제동,2016,84.63,8,380000000,2003,인왕산벽산,18,0,84.0
서대문구,북가좌동,2016,59.97,4,500000000,2012,DMC래미안e편한세상,9,1,84.0
서대문구,북가좌동,2016,84.93,22,600000000,2012,DMC래미안e편한세상,9,1,84.0
서대문구,남가좌동,2016,84.9,9,450000000,2000,남가좌삼성,21,0,84.0
서대문구,남가좌동,2016,84.9,16,448000000,2000,남가좌삼성,21,0,84.0
서대문구,홍제동,2016,84.77,4,395000000,1993,홍제한양,28,0,84.0
서대문구,홍제동,2016,60.06,5,324000000,1993,홍제한양,28,0,84.0
서대문구,홍제동,2016,60.06,10,310000000,1993,홍제한양,28,0,84.0
서대문구,홍제동,2016,84.96,10,307000000,1996,현대그린,25,0,84.0
서대문구,현저동,2016,59.4,12,307000000,2000,독립문파크빌,21,0,84.0
서대문구,현저동,2016,84.87,6,514500000,1998,독립문극동(200-0),23,0,84.0
서대문구,북가좌동,2016,84.33,9,359000000,1987,연희한양,34,0,84.0
서대문구,북가좌동,2016,116.76,1,410000000,1987,연희한양,34,0,84.0
서대문구,현저동,2016,59.4,10,330000000,2000,독립문파크빌,21,0,84.0
서대문구,대현동,2016,121.6,1,570000000,1999,럭키대현,22,0,84.0
서대문구,현저동,2016,84.87,7,507000000,1998,독립문극동(200-0),23,0,84.0
서대문구,충정로,2016,84.73,2,500000000,2008,우리유앤미,13,0,84.0
서대문구,창천동,2016,70.45,3,355000000,2000,광남캐스빌1(512-4),21,0,84.0
서대문구,홍제동,2016,84.78,7,428000000,1994,청구1차,27,0,84.0
서대문구,홍은동,2016,54.54,2,201000000,1987,유원,34,0,84.0
서대문구,홍제동,2016,59.89,7,342000000,1997,청구2차,24,0,84.0
서대문구,홍제동,2016,120.14,11,595000000,1993,홍제한양,28,0,84.0
서대문구,홍제동,2016,72.34,9,277000000,1996,유원하나,25,0,84.0
서대문구,홍은동,2016,59.97,2,277000000,1988,"현대(1,2차)",33,0,84.0
서대문구,북가좌동,2016,84.57,7,385000000,1996,북가좌삼호,25,0,84.0
서대문구,북가좌동,2016,84.57,9,380000000,1996,북가좌삼호,25,0,84.0
서대문구,홍은동,2016,63.44,3,189000000,2003,그랜드(A동),18,0,84.0
서대문구,연희동,2016,119.49,2,488000000,1993,대림,28,0,84.0
서대문구,홍은동,2016,64.26,10,252000000,1987,유원,34,0,84.0
서대문구,연희동,2016,84.95,10,485000000,2001,성원,20,0,84.0
서대문구,북가좌동,2016,120.95,17,790000000,2012,DMC래미안e편한세상,9,1,84.0
서대문구,북가좌동,2016,120.95,26,760000000,2012,DMC래미안e편한세상,9,1,84.0
서대문구,홍은동,2016,54.54,13,210000000,1987,유원,34,0,84.0
서대문구,홍은동,2016,84.96,4,380000000,1997,홍은동벽산,24,0,84.0
서대문구,홍은동,2016,84.92,11,295000000,1995,극동,26,0,84.0
서대문구,홍은동,2016,84.78,3,350000000,1997,홍은동벽산,24,0,84.0
서대문구,충정로,2016,86.61,2,318000000,1969,충정,52,0,84.0
서대문구,북가좌동,2016,84.91,11,440000000,2007,북가좌동이랜드해가든,14,0,84.0
서대문구,홍은동,2016,58.64,10,279000000,1997,홍은동벽산,24,0,84.0
서대문구,냉천동,2016,59.98,7,500000000,2011,돈의문센트레빌,10,0,84.0
서대문구,북아현동,2016,84.96,8,720000000,2015,신촌푸르지오,6,1,84.0
서대문구,북가좌동,2016,105.88,13,385000000,1987,연희한양,34,0,84.0
