자치구명,법정동명,신고년도,건물면적,층정보,물건금액,건축년도,건물명,경과년도,브랜드점수,매매지수
서초구,서초동,2016,152.33,4,1415000000,2004,아크로비스타,17,1,80.9
서초구,서초동,2016,124.35,5,800000000,2001,서초금호어울림,20,0,80.9
서초구,잠원동,2016,106.15,13,1190000000,2002,롯데캐슬갤럭시,19,1,80.9
서초구,서초동,2016,37.78,5,294000000,2003,서초대우아이빌,18,0,80.9
서초구,반포동,2016,155.83,5,1070000000,2003,랑쉐빌,18,0,80.9
서초구,잠원동,2016,53.06,1,835000000,1981,신반포8,40,0,80.9
서초구,방배동,2016,216.73,1,2200000000,2006,방배3차 e-편한세상,15,0,80.9
서초구,서초동,2016,64.26,4,625000000,2000,서초4현대,21,0,80.9
서초구,잠원동,2016,84.52,17,899000000,1997,잠원현대훼밀리,24,0,80.9
서초구,잠원동,2016,52.74,6,900000000,1981,신반포8,40,0,80.9
서초구,잠원동,2016,80.4,11,1150000000,1983,신반포17,38,0,80.9
서초구,잠원동,2016,84.91,7,1100000000,2002,동아,19,0,80.9
서초구,잠원동,2016,84.93,11,928000000,1996,한신타워,25,0,80.9
서초구,잠원동,2016,84.91,4,1118000000,2002,동아,19,0,80.9
서초구,잠원동,2016,52.74,4,890000000,1981,신반포8,40,0,80.9
서초구,서초동,2016,84.33,9,735000000,1989,현대아파트,32,0,80.9
서초구,반포동,2016,72.51,3,1495000000,1974,에이아이디차관주택,47,0,80.9
서초구,방배동,2016,84.38,5,855000000,2005,한진로즈힐,16,0,80.9
서초구,반포동,2016,216.49,7,2450000000,2009,반포자이,12,1,80.9
서초구,방배동,2016,67.47,5,593000000,1988,방배임광,33,0,80.9
서초구,방배동,2016,127.31,13,1080000000,2004,래미안방배아트힐(1008-2),17,1,80.9
서초구,반포동,2016,83.4,12,700000000,1994,엠브이아파트,27,0,80.9
서초구,내곡동,2016,59.94,9,746000000,2014,서초더샵포레,7,1,80.9
서초구,서초동,2016,71.1,2,654000000,1989,아남,32,0,80.9
서초구,양재동,2016,84.69,6,710000000,1996,우성KBS,25,0,80.9
서초구,잠원동,2016,30.18,2,460000000,1996,킴스빌리지,25,0,80.9
서초구,방배동,2016,84.91,5,805000000,2003,삼성래미안1,18,1,80.9
서초구,방배동,2016,84.91,8,812500000,2003,삼성래미안1,18,1,80.9
서초구,잠원동,2016,76.4,2,1048000000,1981,신반포11,40,0,80.9
서초구,신원동,2016,84.61,3,830000000,2014,서초포레스타3단지,7,0,80.9
서초구,서초동,2016,89.73,1,935000000,1978,신동아아파트(1차),43,0,80.9
서초구,반포동,2016,84.94,26,1450000000,2009,반포자이,12,1,80.9
서초구,서초동,2016,163.95,10,815000000,2002,현대이에스에이아파트,19,0,80.9
서초구,방배동,2016,147.75,2,823000000,2003,신호나이스빌,18,0,80.9
서초구,서초동,2016,160.46,6,1580000000,1979,진흥아파트,42,0,80.9
서초구,서초동,2016,35.22,3,260000000,2002,서초동삼성쉐르빌2,19,0,80.9
서초구,방배동,2016,84.83,19,790000000,2006,SK리더스뷰(파스텔시티),15,0,80.9
서초구,반포동,2016,138.26,4,1765000000,2010,반포리체,11,0,80.9
서초구,반포동,2016,59.96,16,1330000000,2009,래미안퍼스티지,12,1,80.9
서초구,서초동,2016,165.92,8,1845000000,1988,삼풍아파트,33,0,80.9
서초구,방배동,2016,59.37,4,460000000,2007,방배아크로타워,14,1,80.9
서초구,서초동,2016,106.11,3,640000000,1997,그린빌라트,24,0,80.9
서초구,서초동,2016,79.47,8,1150000000,1988,삼풍아파트,33,0,80.9
