자치구명,법정동명,신고년도,건물면적,층정보,물건금액,건축년도,건물명,경과년도,브랜드점수,매매지수
성동구,상왕십리동,2016,84.93,19,750000000,2014,텐즈힐(2구역),7,0,81.4
성동구,금호동,2016,84.98,14,550000000,2010,브라운스톤2차,11,0,81.4
성동구,옥수동,2016,84.81,7,890000000,2012,래미안 옥수 리버젠,9,1,81.4
성동구,성수동,2016,52.68,7,475000000,1983,동아,38,0,81.4
성동구,마장동,2016,84.91,7,420000000,1998,현대,23,0,81.4
성동구,옥수동,2016,84.73,5,820000000,2012,래미안 옥수 리버젠,9,1,81.4
성동구,마장동,2016,59.94,19,358000000,1998,현대,23,0,81.4
성동구,금호동,2016,84.32,2,500000000,2006,신금호두산위브,15,0,81.4
성동구,성수동,2016,73.91,19,707000000,2002,LIG건영,19,0,81.4
성동구,하왕십리동,2016,84.42,8,510000000,2004,풍림아이원,17,0,81.4
성동구,금호동,2016,114.32,16,790000000,2012,래미안하이리버,9,1,81.4
성동구,금호동,2016,49.45,1,259000000,1975,삼산금호,46,0,81.4
성동구,성수동,2016,59.49,18,302000000,1999,대우1,22,0,81.4
성동구,금호동,2016,114.55,4,790000000,2007,서울숲푸르지오,14,1,81.4
성동구,옥수동,2016,84.81,9,805000000,2012,래미안 옥수 리버젠,9,1,81.4
성동구,사근동,2016,84.8,15,357000000,2000,벽산,21,0,81.4
성동구,성수동,2016,68.66,5,660000000,1983,신장미,38,0,81.4
성동구,성수동,2016,84.02,8,625000000,2000,서울숲 대림,21,0,81.4
성동구,하왕십리동,2016,84.5,9,415000000,1996,무학현대,25,0,81.4
성동구,하왕십리동,2016,84.5,2,367000000,1996,무학현대,25,0,81.4
성동구,행당동,2016,59.96,1,400000000,2000,행당 한진타운,21,0,81.4
성동구,금호동,2016,59.99,2,550000000,2012,래미안하이리버,9,1,81.4
성동구,성수동,2016,168.37,28,3220000000,2011,갤러리아 포레,10,0,81.4
성동구,금호동,2016,114.57,11,527000000,2001,벽산,20,0,81.4
성동구,옥수동,2016,57.78,15,415000000,1986,극동,35,0,81.4
성동구,성수동,2016,84.95,9,664000000,2002,LIG건영,19,0,81.4
성동구,응봉동,2016,84.53,9,450000000,1989,대림(2차),32,0,81.4
성동구,응봉동,2016,84.53,11,450000000,1989,대림(2차),32,0,81.4
성동구,행당동,2016,84.87,3,540000000,2000,대림e-편한세상,21,0,81.4
성동구,옥수동,2016,102.69,4,487000000,2004,경보이리스힐,17,0,81.4
