자치구명,법정동명,신고년도,건물면적,층정보,물건금액,건축년도,건물명,경과년도,브랜드점수,매매지수
성북구,종암동,2016,84.92,13,547000000,2009,래미안세레니티,12,1,82.6
성북구,하월곡동,2016,84.69,14,410000000,2007,성북힐스테이트(101동),14,1,82.6
성북구,정릉동,2016,114.56,19,538500000,2006,정릉e-편한세상,15,0,82.6
성북구,하월곡동,2016,84.78,3,379000000,2008,광남캐스빌,13,0,82.6
성북구,정릉동,2016,84.97,6,450000000,2008,정릉힐스테이트3차,13,1,82.6
성북구,정릉동,2016,85.0,3,425000000,2006,정릉e-편한세상,15,0,82.6
성북구,돈암동,2016,41.58,8,220000000,1991,돈암현대아파트,30,0,82.6
성북구,정릉동,2016,59.77,1,300000000,2006,정릉e-편한세상,15,0,82.6
성북구,돈암동,2016,41.58,6,228500000,1991,돈암현대아파트,30,0,82.6
성북구,하월곡동,2016,59.98,20,425000000,2007,월곡래미안루나밸리,14,1,82.6
성북구,길음동,2016,68.14,10,258000000,1988,신안파크,33,0,82.6
성북구,석관동,2016,84.81,6,439000000,2011,신동아파밀리에,10,0,82.6
성북구,장위동,2016,124.82,11,350000000,2003,경헌그린아파트,18,0,82.6
성북구,장위동,2016,84.84,6,457000000,2008,꿈의숲대명루첸아파트,13,0,82.6
성북구,석관동,2016,54.55,17,298000000,1998,두산,23,0,82.6
성북구,종암동,2016,59.04,13,292500000,1999,종암에스케이,22,0,82.6
성북구,상월곡동,2016,84.97,14,390000000,2003,동아에코빌,18,0,82.6
성북구,길음동,2016,60.0,7,360000000,2003,길음동동부센트레빌(1278-0),18,0,82.6
성북구,길음동,2016,84.96,23,578000000,2010,길음뉴타운9단지(래미안),11,1,82.6
성북구,길음동,2016,134.99,12,880000000,2010,길음뉴타운9단지(래미안),11,1,82.6
성북구,상월곡동,2016,84.97,1,370000000,2003,동아에코빌,18,0,82.6
성북구,정릉동,2016,84.68,10,405000000,2005,정릉하이츠빌2단지,16,0,82.6
성북구,하월곡동,2016,83.32,7,350000000,2003,수산동양빌,18,0,82.6
성북구,하월곡동,2016,59.88,13,320000000,1998,동신,23,0,82.6
성북구,보문동,2016,84.77,7,519000000,2013,이편한세상 보문,8,0,82.6
성북구,동소문동,2016,84.87,7,416000000,1998,송산아파트,23,0,82.6
성북구,종암동,2016,59.86,22,323500000,1999,종암에스케이,22,0,82.6
성북구,동소문동,2016,58.59,3,296000000,1998,송산아파트,23,0,82.6
성북구,돈암동,2016,126.88,5,600000000,2013,돈암동 해피트리,8,0,82.6
성북구,종암동,2016,84.72,12,395000000,1999,종암에스케이,22,0,82.6
성북구,하월곡동,2016,114.68,1,540000000,2006,래미안월곡,15,1,82.6
성북구,정릉동,2016,109.27,15,465000000,1999,정릉스카이 쌍용 아파트,22,0,82.6
성북구,장위동,2016,84.84,15,464000000,2008,꿈의숲대명루첸아파트,13,0,82.6
성북구,돈암동,2016,84.68,4,345000000,1999,돈암동 풍림아파트 101~105동,22,0,82.6
성북구,하월곡동,2016,114.93,2,525000000,2007,월곡래미안루나밸리,14,1,82.6
성북구,돈암동,2016,68.13,18,350000000,1998,한신,23,0,82.6
성북구,하월곡동,2016,166.87,40,950000000,2010,코업스타클래스,11,0,82.6
성북구,장위동,2016,84.56,9,350000000,2005,장위동동원베네스트,16,0,82.6
성북구,길음동,2016,59.99,17,377000000,2005,길음뉴타운2단지푸르지오,16,1,82.6
성북구,길음동,2016,113.23,4,645000000,2007,길음뉴타운6단지(래미안),14,1,82.6
성북구,정릉동,2016,84.65,12,430000000,2008,라온유,13,0,82.6
성북구,정릉동,2016,59.77,16,340000000,2006,정릉e-편한세상,15,0,82.6
성북구,길음동,2016,114.91,10,507000000,2003,길음동동부센트레빌(1278-0),18,0,82.6
성북구,돈암동,2016,84.68,13,360000000,1999,돈암동 풍림아파트 101~105동,22,0,82.6
성북구,길음동,2016,84.84,16,453000000,2003,길음동동부센트레빌(1278-0),18,0,82.6
성북구,종암동,2016,55.27,2,342000000,2004,아이파크종암동 1차,17,1,82.6
성북구,정릉동,2016,114.75,5,410000000,2005,정릉풍림아이원,16,0,82.6
성북구,삼선동,2016,59.94,18,348000000,1999,코오롱,22,0,82.6
성북구,길음동,2016,59.99,12,464000000,2010,길음뉴타운7단지(두산위브),11,0,82.6
성북구,장위동,2016,84.98,2,365000000,2006,참누리아파트,15,0,82.6
성북구,정릉동,2016,114.6,5,370000000,1999,쌍용2,22,0,82.6
성북구,안암동,2016,56.96,7,115000000,1971,대광,50,0,82.6
성북구,하월곡동,2016,59.65,9,363000000,2010,꿈의숲푸르지오,11,1,82.6
성북구,돈암동,2016,59.64,9,299000000,1999,돈암동 풍림아파트 101~105동,22,0,82.6
