자치구명,법정동명,신고년도,건물면적,층정보,물건금액,건축년도,건물명,경과년도,브랜드점수,매매지수
송파구,잠실동,2016,84.83,23,1015000000,2007,트리지움,14,0,74.8
송파구,잠실동,2016,119.93,14,1440000000,2008,잠실엘스,13,0,74.8
송파구,잠실동,2016,84.8,17,1055000000,2008,잠실엘스,13,0,74.8
송파구,잠실동,2016,84.88,24,1050000000,2008,잠실엘스,13,0,74.8
송파구,문정동,2016,59.91,8,360000000,1995,현대2,26,0,74.8
송파구,잠실동,2016,59.23,2,500000000,2005,잠실월드메르디앙,16,0,74.8
송파구,신천동,2016,84.97,18,980000000,2008,파크리오,13,0,74.8
송파구,잠실동,2016,134.49,4,1640000000,1986,아시아선수촌아파트,35,0,74.8
송파구,송파동,2016,64.26,6,519000000,1984,2차한양아파트,37,0,74.8
송파구,문정동,2016,84.75,15,730000000,1988,올림픽훼밀리타운,33,0,74.8
송파구,신천동,2016,35.24,19,460000000,2008,파크리오,13,0,74.8
송파구,송파동,2016,64.26,3,510000000,1983,한양아파트,38,0,74.8
송파구,풍납동,2016,57.24,7,320000000,1986,토성현대,35,0,74.8
송파구,송파동,2016,64.26,3,510000000,1984,2차한양아파트,37,0,74.8
송파구,문정동,2016,54.6,4,350000000,1993,현대(62-5),28,0,74.8
송파구,잠실동,2016,82.61,10,1350000000,1978,주공아파트 5단지,43,0,74.8
송파구,송파동,2016,84.92,2,605000000,1984,2차한양아파트,37,0,74.8
송파구,잠실동,2016,84.99,20,1037000000,2008,리센츠,13,0,74.8
송파구,잠실동,2016,84.8,13,980000000,2008,잠실엘스,13,0,74.8
송파구,문정동,2016,59.9,2,329000000,2004,미소로,17,0,74.8
송파구,잠실동,2016,76.5,13,1183000000,1978,주공아파트 5단지,43,0,74.8
송파구,잠실동,2016,59.96,22,865000000,2008,잠실엘스,13,0,74.8
송파구,송파동,2016,108.34,11,726000000,1984,가락삼익맨숀,37,0,74.8
송파구,신천동,2016,84.79,24,900000000,2008,파크리오,13,0,74.8
송파구,오금동,2016,31.0,2,210000000,1997,현대백조,24,0,74.8
송파구,장지동,2016,59.97,17,560000000,2008,송파파인타운8단지,13,0,74.8
송파구,장지동,2016,84.9,1,570000000,2008,송파파인타운6단지,13,0,74.8
송파구,풍납동,2016,43.2,2,304000000,1999,현대리버빌1지구,22,0,74.8
송파구,신천동,2016,84.79,12,897000000,2008,파크리오,13,0,74.8
송파구,장지동,2016,59.95,9,556000000,2007,송파파인타운9단지,14,0,74.8
송파구,송파동,2016,64.66,23,590000000,2012,래미안송파파인탑,9,1,74.8
송파구,장지동,2016,84.93,1,558000000,2008,송파파인타운6단지,13,0,74.8
송파구,방이동,2016,83.06,7,780000000,1988,올림픽선수기자촌1단지,33,0,74.8
송파구,가락동,2016,58.46,5,487000000,1986,우성,35,0,74.8
송파구,방이동,2016,83.06,2,760000000,1988,올림픽선수기자촌1단지,33,0,74.8
송파구,문정동,2016,84.96,12,700000000,2004,문정래미안,17,1,74.8
송파구,가락동,2016,84.98,11,650000000,2004,송파동부쎈트레빌,17,0,74.8
송파구,방이동,2016,100.31,11,1000000000,1988,올림픽선수기자촌2단지,33,0,74.8
송파구,문정동,2016,120.97,15,845000000,2004,문정래미안,17,1,74.8
송파구,문정동,2016,84.81,7,557500000,1996,건영1,25,0,74.8
송파구,마천동,2016,84.96,9,500000000,2006,금호어울림,15,0,74.8
송파구,문정동,2016,46.26,6,320000000,1989,문정시영,32,0,74.8
송파구,신천동,2016,84.79,32,880000000,2008,파크리오,13,0,74.8
송파구,가락동,2016,141.17,15,720000000,2006,성원상떼빌,15,0,74.8
송파구,잠실동,2016,84.8,29,980000000,2008,잠실엘스,13,0,74.8
송파구,잠실동,2016,27.68,17,530000000,2008,리센츠,13,0,74.8
송파구,거여동,2016,84.91,6,486000000,1992,현대1차,29,0,74.8
송파구,가락동,2016,83.58,10,500000000,1986,가락미륭아파트,35,0,74.8
송파구,풍납동,2016,58.11,5,403000000,1987,극동,34,0,74.8
송파구,신천동,2016,71.2,4,740000000,1979,장미1,42,0,74.8
송파구,오금동,2016,84.99,1,365000000,1992,대영공원(102동),29,0,74.8
송파구,마천동,2016,80.13,6,340000000,2000,성영,21,0,74.8
송파구,가락동,2016,39.64,5,605240000,1982,시영2,39,0,74.8
송파구,잠실동,2016,59.96,24,860000000,2008,잠실엘스,13,0,74.8
송파구,잠실동,2016,59.23,8,538000000,2005,잠실월드메르디앙,16,0,74.8
송파구,가락동,2016,72.7,6,500000000,1984,삼환,37,0,74.8
송파구,풍납동,2016,59.26,6,411500000,1995,한강극동,26,0,74.8
송파구,오금동,2016,170.32,13,980000000,1984,현대(2-4차),37,0,74.8
송파구,잠실동,2016,82.51,8,1340000000,1978,주공아파트 5단지,43,0,74.8
송파구,잠실동,2016,82.06,7,795000000,1981,우성아파트,40,0,74.8
송파구,오금동,2016,84.98,7,686000000,1984,현대(2-4차),37,0,74.8
송파구,방이동,2016,131.76,5,1190000000,1988,올림픽선수기자촌1단지,33,0,74.8
송파구,문정동,2016,136.33,8,983000000,1988,올림픽훼밀리타운,33,0,74.8
송파구,문정동,2016,84.75,15,725000000,1988,올림픽훼밀리타운,33,0,74.8
송파구,문정동,2016,158.71,8,1085000000,1988,올림픽훼밀리타운,33,0,74.8
송파구,오금동,2016,50.72,6,377500000,1984,상아2차아파트,37,0,74.8
송파구,오금동,2016,60.7,10,465000000,1984,상아2차아파트,37,0,74.8
송파구,신천동,2016,82.45,7,840000000,1979,장미1,42,0,74.8
송파구,잠실동,2016,59.23,4,550000000,2005,잠실월드메르디앙,16,0,74.8
송파구,잠실동,2016,82.61,9,1302500000,1978,주공아파트 5단지,43,0,74.8
송파구,가락동,2016,59.4,3,480000000,1984,극동,37,0,74.8
송파구,오금동,2016,76.42,5,477000000,1985,우창,36,0,74.8
송파구,풍납동,2016,49.14,9,285000000,1986,토성현대,35,0,74.8
송파구,잠실동,2016,84.99,12,1030000000,2008,리센츠,13,0,74.8
송파구,가락동,2016,59.92,23,490000000,1997,가락(1차)쌍용아파트,24,0,74.8
송파구,잠실동,2016,84.99,14,1070000000,2008,리센츠,13,0,74.8
송파구,가락동,2016,84.69,18,618000000,1997,가락(1차)쌍용아파트,24,0,74.8
송파구,가락동,2016,40.09,3,629170000,1980,시영1,41,0,74.8
송파구,석촌동,2016,68.36,6,420000000,2007,밀란체1,14,0,74.8
송파구,석촌동,2016,62.58,6,385000000,2006,베스트휴,15,0,74.8
송파구,문정동,2016,84.81,10,530000000,1996,건영1,25,0,74.8
송파구,오금동,2016,50.72,6,379000000,1984,상아2차아파트,37,0,74.8
송파구,신천동,2016,84.9,1,820000000,2008,파크리오,13,0,74.8
송파구,오금동,2016,50.72,7,387000000,1984,상아2차아파트,37,0,74.8
송파구,신천동,2016,46.54,10,600000000,1980,미성,41,0,74.8
송파구,송파동,2016,146.96,12,800000000,1984,2차한양아파트,37,0,74.8
송파구,신천동,2016,84.9,11,847000000,2008,파크리오,13,0,74.8
송파구,송파동,2016,84.92,12,503000000,1992,성지,29,0,74.8
송파구,송파동,2016,84.83,4,600000000,1984,가락삼익맨숀,37,0,74.8
송파구,신천동,2016,84.9,31,880000000,2008,파크리오,13,0,74.8
송파구,송파동,2016,158.61,10,860000000,1983,한양아파트,38,0,74.8
송파구,마천동,2016,70.42,13,343000000,1992,아남,29,0,74.8
송파구,잠실동,2016,84.83,16,971000000,2007,트리지움,14,0,74.8
송파구,잠실동,2016,84.99,10,1015000000,2008,리센츠,13,0,74.8
송파구,가락동,2016,51.4,2,695240000,1980,시영1,41,0,74.8
송파구,가락동,2016,29.09,1,521810000,1982,시영2,39,0,74.8
송파구,신천동,2016,121.63,15,1225000000,2008,파크리오,13,0,74.8
송파구,신천동,2016,35.24,23,449000000,2008,파크리오,13,0,74.8
송파구,신천동,2016,84.9,4,890000000,2008,파크리오,13,0,74.8
송파구,신천동,2016,144.77,24,1370000000,2008,파크리오,13,0,74.8
송파구,잠실동,2016,82.61,11,1390000000,1978,주공아파트 5단지,43,0,74.8
송파구,잠실동,2016,96.65,6,980000000,1981,우성아파트,40,0,74.8
송파구,송파동,2016,108.34,10,710000000,1984,가락삼익맨숀,37,0,74.8
송파구,송파동,2016,79.7,11,627000000,2001,송파삼성래미안아파트,20,1,74.8
송파구,풍납동,2016,84.38,2,438000000,1995,동아한가람1,26,0,74.8
송파구,신천동,2016,82.45,13,865000000,1979,장미1,42,0,74.8
송파구,풍납동,2016,84.86,8,520000000,1994,쌍용,27,0,74.8
송파구,방이동,2016,135.99,11,1245000000,1988,올림픽선수기자촌2단지,33,0,74.8
송파구,잠실동,2016,115.83,12,810000000,1983,우성4차,38,0,74.8
송파구,잠실동,2016,81.14,12,600000000,1983,우성4차,38,0,74.8
송파구,잠실동,2016,81.14,4,600000000,1983,우성4차,38,0,74.8
송파구,문정동,2016,117.59,4,850000000,1988,올림픽훼밀리타운,33,0,74.8
송파구,잠실동,2016,84.99,11,1043000000,2008,리센츠,13,0,74.8
송파구,신천동,2016,82.45,12,841000000,1979,장미1,42,0,74.8
송파구,잠실동,2016,84.68,10,660000000,1990,현대,31,0,74.8
송파구,잠실동,2016,115.83,1,788000000,1983,우성4차,38,0,74.8
송파구,문정동,2016,39.69,7,278000000,1989,문정시영,32,0,74.8
송파구,문정동,2016,46.26,12,320000000,1989,문정시영,32,0,74.8
송파구,잠실동,2016,84.99,12,1120000000,2008,리센츠,13,0,74.8
송파구,잠실동,2016,27.68,30,525000000,2008,리센츠,13,0,74.8
송파구,거여동,2016,49.8,6,350000000,1997,거여1단지,24,0,74.8
송파구,신천동,2016,81.88,5,900000000,1980,진주,41,0,74.8
송파구,신천동,2016,46.54,6,590000000,1980,미성,41,0,74.8
송파구,풍납동,2016,59.26,10,388000000,1995,한강극동,26,0,74.8
송파구,문정동,2016,84.81,3,530000000,1996,건영1,25,0,74.8
송파구,신천동,2016,82.45,3,820000000,1979,장미1,42,0,74.8
송파구,오금동,2016,130.93,5,840000000,1984,현대(2-4차),37,0,74.8
송파구,가락동,2016,49.26,5,794470000,1982,시영2,39,0,74.8
송파구,거여동,2016,74.83,4,419000000,1992,현대1차,29,0,74.8
송파구,가락동,2016,51.4,2,770710000,1980,시영1,41,0,74.8
송파구,거여동,2016,49.8,5,336000000,1997,거여1단지,24,0,74.8
송파구,가락동,2016,44.6,3,631120000,1982,시영2,39,0,74.8
송파구,송파동,2016,84.92,1,600000000,1984,2차한양아파트,37,0,74.8
송파구,잠실동,2016,82.61,15,1280000000,1978,주공아파트 5단지,43,0,74.8
송파구,방이동,2016,83.06,6,855000000,1988,올림픽선수기자촌2단지,33,0,74.8
송파구,잠실동,2016,59.96,4,800000000,2008,잠실엘스,13,0,74.8
송파구,송파동,2016,64.26,8,509000000,1983,한양아파트,38,0,74.8
송파구,신천동,2016,52.51,2,505000000,1988,한신코아,33,0,74.8
송파구,장지동,2016,59.95,3,580000000,2007,송파파인타운9단지,14,0,74.8
송파구,신천동,2016,52.51,8,510000000,1988,한신코아,33,0,74.8
송파구,신천동,2016,82.45,10,849000000,1979,장미1,42,0,74.8
송파구,신천동,2016,99.0,4,939500000,1979,장미2,42,0,74.8
송파구,신천동,2016,46.54,2,590000000,1980,미성,41,0,74.8
송파구,신천동,2016,46.54,2,598000000,1980,미성,41,0,74.8
송파구,잠실동,2016,27.68,22,517000000,2008,리센츠,13,0,74.8
송파구,풍납동,2016,84.0,12,585000000,1995,현대1,26,0,74.8
