자치구명,법정동명,신고년도,건물면적,층정보,물건금액,건축년도,건물명,경과년도,브랜드점수,매매지수
양천구,신월동,2016,27.69,4,95000000,1999,동방,22,0,78.0
양천구,신정동,2016,49.8,5,250000000,1999,신트리1,22,0,78.0
양천구,신월동,2016,72.98,2,265000000,1987,신안파크,34,0,78.0
양천구,목동,2016,59.49,8,247000000,1997,에이스,24,0,78.0
양천구,목동,2016,112.73,9,600000000,2000,목동트윈빌,21,0,78.0
양천구,신월동,2016,42.57,1,139500000,1987,길훈,34,0,78.0
양천구,신월동,2016,43.2,4,198000000,1988,신월시영,33,0,78.0
양천구,목동,2016,84.82,1,569000000,1994,목동대림,27,0,78.0
양천구,신월동,2016,59.49,8,288000000,1988,신월시영,33,0,78.0
양천구,신정동,2016,84.98,5,190000000,1997,청자,24,0,78.0
양천구,신정동,2016,48.96,4,256000000,2000,신트리4,21,0,78.0
양천구,신정동,2016,59.73,4,295000000,2000,신트리4,21,0,78.0
양천구,목동,2016,157.29,15,900000000,2000,부영3,21,0,78.0
양천구,신정동,2016,49.08,1,217000000,2000,신트리4,21,0,78.0
양천구,신월동,2016,47.6,1,138000000,1987,신안파크,34,0,78.0
양천구,목동,2016,59.87,11,428500000,1997,삼익,24,0,78.0
양천구,신정동,2016,84.96,2,400000000,2000,목동우성2,21,0,78.0
양천구,신정동,2016,84.99,8,463690000,1992,청구,29,0,78.0
양천구,신정동,2016,84.76,5,400000000,2002,학마을3,19,0,78.0
양천구,신월동,2016,60.2,1,186000000,1987,신안파크,34,0,78.0
양천구,목동,2016,84.39,3,315000000,1994,건영,27,0,78.0
양천구,목동,2016,59.64,21,525000000,1997,목동현대1,24,0,78.0
양천구,목동,2016,64.02,2,256000000,1996,동도(729-5),25,0,78.0
양천구,신월동,2016,56.78,5,177500000,1987,신안파크,34,0,78.0
양천구,신월동,2016,42.57,1,140000000,1987,길훈,34,0,78.0
양천구,신월동,2016,42.57,5,130000000,1987,길훈,34,0,78.0
양천구,신월동,2016,59.47,8,400000000,2014,롯데캐슬,7,1,78.0
양천구,신월동,2016,100.8,8,353000000,1985,서울가든,36,0,78.0
양천구,신정동,2016,59.73,10,310000000,1999,신트리1,22,0,78.0
양천구,신정동,2016,84.89,15,495000000,1992,대림,29,0,78.0
양천구,신월동,2016,59.99,6,277000000,2003,제일캐슬,18,0,78.0
양천구,신월동,2016,59.91,10,255000000,1999,해태,22,0,78.0
양천구,신정동,2016,49.95,9,300000000,1999,신트리1,22,0,78.0
양천구,신정동,2016,73.63,5,363000000,2009,청우,12,0,78.0
양천구,신정동,2016,75.9,9,370000000,2005,휘버스,16,0,78.0
양천구,신정동,2016,84.63,4,490000000,1992,쌍용,29,0,78.0
양천구,신정동,2016,59.73,11,340000000,2000,신트리4,21,0,78.0
양천구,신월동,2016,84.75,7,300000000,1998,태형,23,0,78.0
양천구,목동,2016,84.88,13,580000000,1997,삼익,24,0,78.0
양천구,신정동,2016,59.91,11,300000000,2001,푸른마을2,20,0,78.0
양천구,신정동,2016,49.8,3,290000000,1999,신트리1,22,0,78.0
양천구,신월동,2016,84.98,10,500000000,2014,롯데캐슬,7,1,78.0
양천구,목동,2016,84.97,2,570000000,2001,대원칸타빌,20,0,78.0
양천구,목동,2016,79.69,10,650000000,2000,부영2,21,0,78.0
양천구,목동,2016,59.84,8,488000000,1998,진도1,23,0,78.0
양천구,신월동,2016,57.11,4,157000000,1988,우정,33,0,78.0
양천구,신정동,2016,84.77,3,568000000,1996,목동삼성,25,0,78.0
양천구,신정동,2016,84.97,17,465000000,2000,신트리3,21,0,78.0
양천구,신정동,2016,84.84,13,515000000,1995,현대,26,0,78.0
양천구,신월동,2016,87.17,7,340000000,1985,신안약수,36,0,78.0
양천구,목동,2016,114.75,10,750000000,2005,롯데캐슬위너,16,1,78.0
