자치구명,법정동명,신고년도,건물면적,층정보,물건금액,건축년도,건물명,경과년도,브랜드점수,매매지수
영등포구,당산동,2016,84.93,11,450000000,1986,한양,35,0,78.7
영등포구,당산동,2016,73.98,10,500000000,1983,유원제일,38,0,78.7
영등포구,여의도동,2016,92.13,9,839000000,1975,삼부,46,0,78.7
영등포구,양평동,2016,59.96,16,402700000,1999,거성파스텔,22,0,78.7
영등포구,여의도동,2016,210.38,19,1960000000,2008,여의도자이,13,1,78.7
영등포구,여의도동,2016,94.31,1,795000000,1977,진주,44,0,78.7
영등포구,대림동,2016,99.92,6,445000000,1998,대림동1한신,23,0,78.7
영등포구,영등포동,2016,114.7,1,530000000,1999,삼환,22,0,78.7
영등포구,양평동,2016,59.28,19,318000000,1999,한솔,22,0,78.7
영등포구,대림동,2016,84.95,1,460000000,2013,신대림 신동아파밀리에,8,0,78.7
영등포구,여의도동,2016,89.26,11,797000000,1977,목화,44,0,78.7
영등포구,양평동,2016,84.48,16,450000000,1998,동보,23,0,78.7
영등포구,대림동,2016,59.94,20,382500000,1998,코오롱,23,0,78.7
영등포구,여의도동,2016,89.26,6,780000000,1977,목화,44,0,78.7
영등포구,여의도동,2016,149.52,10,1075000000,1975,한양,46,0,78.7
영등포구,대림동,2016,84.93,21,443800000,1998,코오롱,23,0,78.7
영등포구,양평동,2016,61.59,14,400000000,1982,신동아,39,0,78.7
영등포구,대림동,2016,43.92,19,274000000,1997,현대3,24,0,78.7
영등포구,여의도동,2016,150.65,6,1200000000,1976,수정,45,0,78.7
영등포구,여의도동,2016,48.26,8,525000000,1977,진주,44,0,78.7
영등포구,영등포동,2016,84.9,11,445000000,2004,브라운스톤,17,0,78.7
영등포구,신길동,2016,43.65,6,210000000,1987,삼두,34,0,78.7
영등포구,대림동,2016,84.93,1,400000000,1998,코오롱,23,0,78.7
영등포구,신길동,2016,49.64,7,300000000,1986,우성1,35,0,78.7
영등포구,대림동,2016,13.64,10,120000000,2012,(1101-1),9,0,78.7
영등포구,양평동,2016,59.94,13,379000000,1996,한신,25,0,78.7
영등포구,신길동,2016,83.66,8,415000000,1989,우성3,32,0,78.7
영등포구,영등포동,2016,13.53,11,122000000,2014,포레스트힐 시티,7,0,78.7
영등포구,대림동,2016,14.81,5,118000000,2012,(1101-1),9,0,78.7
영등포구,양평동,2016,84.6,9,415000000,1993,성원,28,0,78.7
영등포구,양평동,2016,84.66,2,418000000,1993,성원,28,0,78.7
영등포구,양평동,2016,84.66,17,433000000,1993,성원,28,0,78.7
영등포구,대림동,2016,84.85,2,310000000,1987,신동아,34,0,78.7
영등포구,양평동,2016,59.96,5,375000000,2000,삼호한숲,21,0,78.7
영등포구,대림동,2016,67.41,8,284000000,1987,신동아,34,0,78.7
영등포구,신길동,2016,84.63,5,397000000,2004,슈와이,17,0,78.7
영등포구,신길동,2016,64.4,4,335000000,1989,우성3,32,0,78.7
영등포구,신길동,2016,83.66,10,430000000,1989,우성3,32,0,78.7
영등포구,신길동,2016,53.24,9,310000000,1989,우성3,32,0,78.7
영등포구,양평동,2016,59.96,21,410000000,1999,거성파스텔,22,0,78.7
영등포구,양평동,2016,131.34,9,575000000,1999,거성파스텔,22,0,78.7
영등포구,당산동,2016,82.77,6,495000000,1994,현대,27,0,78.7
영등포구,신길동,2016,59.33,22,347000000,2001,삼성래미안,20,1,78.7
영등포구,대림동,2016,59.89,15,335500000,1999,대림동2한신,22,0,78.7
영등포구,영등포동,2016,114.08,14,520000000,2004,두산위브,17,0,78.7
영등포구,영등포동,2016,13.33,9,105000000,2011,헤렌어반,10,0,78.7
영등포구,문래동,2016,41.04,12,230000000,1987,현대2,34,0,78.7
영등포구,당산동,2016,49.96,4,400000000,2014,당산계룡리슈빌3단지,7,0,78.7
영등포구,대림동,2016,84.75,12,359000000,1992,현대1,29,0,78.7
영등포구,신길동,2016,84.94,10,513000000,2011,신길동자이,10,1,78.7
영등포구,신길동,2016,13.55,12,110000000,2013,신길레전드 힐스,8,0,78.7
영등포구,신길동,2016,13.74,10,113000000,2013,신길레전드 힐스,8,0,78.7
영등포구,신길동,2016,55.9,1,285000000,1983,우창,38,0,78.7
영등포구,대림동,2016,120.18,18,408000000,2001,문영칸타빌레,20,0,78.7
영등포구,대림동,2016,96.24,17,372000000,2001,문영칸타빌레,20,0,78.7
영등포구,양평동,2016,59.94,7,385000000,1996,한신,25,0,78.7
영등포구,신길동,2016,84.94,13,518000000,2011,신길동자이,10,1,78.7
영등포구,영등포동,2016,114.08,6,520000000,2004,두산위브,17,0,78.7
영등포구,문래동,2016,85.0,5,455000000,2008,리버뷰신안인스빌1단지,13,0,78.7
영등포구,문래동,2016,65.46,13,322500000,1988,문래 두산위브,33,0,78.7
영등포구,여의도동,2016,240.3,37,2350000000,2005,롯데캐슬엠파이어,16,1,78.7
영등포구,당산동,2016,82.77,6,487000000,1994,현대,27,0,78.7
영등포구,신길동,2016,114.19,4,590000000,2005,보라매경남아너스빌,16,0,78.7
영등포구,신길동,2016,59.78,18,460000000,2005,보라매경남아너스빌,16,0,78.7
영등포구,신길동,2016,84.79,9,493500000,2005,보라매경남아너스빌,16,0,78.7
영등포구,신길동,2016,84.79,13,515000000,2005,보라매경남아너스빌,16,0,78.7
영등포구,대림동,2016,84.87,13,390000000,2005,갑을명가,16,0,78.7
영등포구,문래동,2016,79.46,5,470000000,1988,한신,33,0,78.7
영등포구,당산동,2016,79.43,18,554000000,2002,강변래미안,19,1,78.7
영등포구,문래동,2016,106.5,8,470000000,1998,대원,23,0,78.7
영등포구,문래동,2016,84.98,17,715000000,2001,문래자이,20,1,78.7
영등포구,대림동,2016,84.95,3,405000000,2005,갑을명가,16,0,78.7
영등포구,양평동,2016,84.91,11,475000000,2004,우림루미아트,17,0,78.7
영등포구,대림동,2016,84.87,10,410000000,2005,갑을명가,16,0,78.7
영등포구,당산동,2016,162.21,1,599900000,1997,진로,24,0,78.7
영등포구,양평동,2016,84.85,14,442000000,2000,동양,21,0,78.7
영등포구,대림동,2016,83.59,4,365000000,1985,우성1,36,0,78.7
영등포구,양평동,2016,59.94,12,378000000,1996,한신,25,0,78.7
영등포구,영등포동,2016,79.78,6,463000000,2002,영등포푸르지오,19,1,78.7
영등포구,영등포동,2016,84.91,2,480000000,2002,영등포푸르지오,19,1,78.7
영등포구,영등포동,2016,73.13,14,495000000,2002,영등포푸르지오,19,1,78.7
영등포구,대림동,2016,62.37,10,307500000,1985,우성1,36,0,78.7
영등포구,신길동,2016,53.24,6,303000000,1989,우성3,32,0,78.7
영등포구,당산동,2016,57.75,10,420000000,2005,당산디오빌,16,0,78.7
영등포구,대림동,2016,84.75,15,369000000,1992,현대1,29,0,78.7
영등포구,신길동,2016,83.66,9,444000000,1989,우성3,32,0,78.7
영등포구,대림동,2016,84.74,8,375000000,1992,현대2,29,0,78.7
영등포구,대림동,2016,84.74,12,370000000,1992,현대2,29,0,78.7
영등포구,영등포동,2016,41.32,1,139000000,1969,영일,52,0,78.7
영등포구,영등포동,2016,79.78,17,522000000,2002,영등포푸르지오,19,1,78.7
영등포구,당산동,2016,64.08,5,417500000,1983,유원제일,38,0,78.7
영등포구,도림동,2016,37.81,12,202000000,1997,도림청구,24,0,78.7
영등포구,양평동,2016,59.67,17,300000000,1999,상록수,22,0,78.7
영등포구,영등포동,2016,84.87,19,550000000,1999,삼환,22,0,78.7
영등포구,양평동,2016,59.67,13,270000000,1999,상록수,22,0,78.7
영등포구,양평동,2016,59.4,5,360000000,1998,동보,23,0,78.7
영등포구,대림동,2016,67.41,11,277000000,1987,신동아,34,0,78.7
영등포구,문래동,2016,84.79,11,400000000,1992,현대5,29,0,78.7
영등포구,양평동,2016,84.99,3,430000000,1999,거성파스텔,22,0,78.7
영등포구,문래동,2016,137.82,14,784000000,2003,문래힐스테이트,18,1,78.7
영등포구,대림동,2016,93.05,8,460000000,2008,한솔솔파크,13,0,78.7
영등포구,신길동,2016,83.66,3,415000000,1989,우성3,32,0,78.7
영등포구,신길동,2016,84.79,10,510000000,2005,보라매경남아너스빌,16,0,78.7
영등포구,대림동,2016,59.83,7,385000000,1997,현대3,24,0,78.7
영등포구,여의도동,2016,101.29,8,945000000,1978,미성,43,0,78.7
영등포구,문래동,2016,84.98,4,406000000,2001,문래동삼환,20,0,78.7
영등포구,대림동,2016,84.74,18,364000000,1992,현대2,29,0,78.7
영등포구,영등포동,2016,114.77,1,490000000,1998,경남,23,0,78.7
영등포구,영등포동,2016,79.78,7,480000000,2002,영등포푸르지오,19,1,78.7
영등포구,당산동,2016,64.08,5,450000000,1983,유원제일,38,0,78.7
영등포구,여의도동,2016,94.31,5,840000000,1977,진주,44,0,78.7
영등포구,양평동,2016,50.81,14,329000000,1982,신동아,39,0,78.7
영등포구,당산동,2016,59.75,19,500000000,2000,현대5,21,0,78.7
영등포구,당산동,2016,84.69,11,580000000,2000,현대5,21,0,78.7
영등포구,당산동,2016,84.16,3,445000000,2013,삼익플라주,8,0,78.7
영등포구,여의도동,2016,234.02,14,960000000,2000,리버타워,21,0,78.7
영등포구,당산동,2016,51.48,10,360000000,1983,유원제일,38,0,78.7
영등포구,양평동,2016,59.98,14,355000000,1996,한신공영,25,0,78.7
영등포구,여의도동,2016,121.52,2,880000000,1974,은하,47,0,78.7
영등포구,당산동,2016,81.2,2,384500000,1986,현대2,35,0,78.7
영등포구,양평동,2016,59.98,9,350000000,1996,한신공영,25,0,78.7
영등포구,양평동,2016,59.94,19,375000000,1996,한신,25,0,78.7
영등포구,여의도동,2016,146.78,6,1070000000,1977,화랑,44,0,78.7
영등포구,당산동,2016,114.96,19,648000000,2003,동부센트레빌,18,0,78.7
영등포구,양평동,2016,59.84,13,333000000,2000,경남,21,0,78.7
영등포구,양평동,2016,59.96,14,390000000,2000,삼호한숲,21,0,78.7
영등포구,양평동,2016,84.87,18,468000000,1996,한신,25,0,78.7
영등포구,양평동,2016,59.94,6,360000000,1996,한신,25,0,78.7
영등포구,여의도동,2016,118.12,7,945000000,1971,시범,50,0,78.7
영등포구,여의도동,2016,79.24,11,800000000,1971,시범,50,0,78.7
영등포구,당산동,2016,73.27,3,431500000,1988,현대3,33,0,78.7
영등포구,여의도동,2016,156.99,12,1250000000,1971,시범,50,0,78.7
영등포구,여의도동,2016,210.38,18,1795000000,2008,여의도자이,13,1,78.7
영등포구,당산동,2016,84.93,3,430000000,1986,한양,35,0,78.7
영등포구,신길동,2016,53.24,14,305000000,1986,우성2,35,0,78.7
영등포구,신길동,2016,43.65,7,210000000,1987,삼두,34,0,78.7
영등포구,양평동,2016,71.04,2,350000000,1990,벽산,31,0,78.7
영등포구,양평동,2016,84.13,7,387000000,1999,한솔,22,0,78.7
영등포구,양평동,2016,84.85,2,418000000,2000,동양,21,0,78.7
영등포구,여의도동,2016,48.26,3,559000000,1977,진주,44,0,78.7
영등포구,여의도동,2016,101.29,5,937000000,1978,미성,43,0,78.7
영등포구,양평동,2016,114.49,9,490000000,2000,동양,21,0,78.7
영등포구,영등포동,2016,79.78,12,485000000,2002,영등포푸르지오,19,1,78.7
영등포구,여의도동,2016,156.99,10,1260000000,1971,시범,50,0,78.7
영등포구,영등포동,2016,73.13,11,494000000,2002,영등포푸르지오,19,1,78.7
영등포구,문래동,2016,84.98,13,600000000,2001,문래자이,20,1,78.7
영등포구,여의도동,2016,156.99,2,1280000000,1971,시범,50,0,78.7
영등포구,신길동,2016,84.84,14,430000000,1997,삼환,24,0,78.7
영등포구,여의도동,2016,60.96,5,678000000,1971,시범,50,0,78.7
영등포구,당산동,2016,50.0,10,438000000,2014,당산계룡리슈빌3단지,7,0,78.7
영등포구,대림동,2016,43.92,3,275000000,1997,현대3,24,0,78.7
영등포구,문래동,2016,84.99,10,552000000,2006,문래동금호어울림,15,0,78.7
영등포구,문래동,2016,84.98,14,700000000,2001,문래자이,20,1,78.7
영등포구,신길동,2016,53.24,14,302000000,1989,우성3,32,0,78.7
영등포구,대림동,2016,84.74,12,365000000,1992,현대2,29,0,78.7
영등포구,대림동,2016,59.83,21,371000000,1997,현대3,24,0,78.7
영등포구,신길동,2016,84.95,11,455000000,1991,우성4,30,0,78.7
영등포구,영등포동,2016,38.02,1,128000000,1969,영일,52,0,78.7
영등포구,대림동,2016,59.63,13,315000000,1995,성원(650),26,0,78.7
영등포구,신길동,2016,59.99,1,410000000,2011,신길동자이,10,1,78.7
영등포구,당산동,2016,84.84,1,528000000,1983,현대1,38,0,78.7
영등포구,당산동,2016,58.37,10,462500000,1983,상아,38,0,78.7
영등포구,도림동,2016,84.97,30,600000000,2014,영등포아트자이,7,1,78.7
영등포구,도림동,2016,120.04,13,750000000,2014,영등포아트자이,7,1,78.7
영등포구,신길동,2016,83.66,10,413000000,1989,우성3,32,0,78.7
영등포구,문래동,2016,58.96,12,380000000,1988,한신,33,0,78.7
영등포구,문래동,2016,58.96,2,360000000,1988,한신,33,0,78.7
영등포구,당산동,2016,84.84,2,529000000,1983,현대1,38,0,78.7
영등포구,당산동,2016,157.87,6,860000000,2010,당산동반도유보라팰리스,11,0,78.7
영등포구,당산동,2016,84.87,9,538000000,2009,당산동2차어울림,12,0,78.7
영등포구,문래동,2016,84.98,10,438000000,1991,유원문래,30,0,78.7
영등포구,양평동,2016,51.24,4,272000000,1990,벽산,31,0,78.7
영등포구,문래동,2016,84.79,16,410000000,1992,현대5,29,0,78.7
영등포구,문래동,2016,64.38,3,305000000,1986,현대1,35,0,78.7
영등포구,당산동,2016,68.88,5,338000000,1996,코오롱,25,0,78.7
영등포구,당산동,2016,68.28,4,478000000,2010,쌍용예가클래식,11,0,78.7
영등포구,양평동,2016,84.69,1,440000000,1998,양평삼성,23,0,78.7
영등포구,당산동,2016,115.78,16,810000000,2003,삼성래미안,18,1,78.7
영등포구,영등포동,2016,84.87,2,467000000,1999,삼환,22,0,78.7
영등포구,양평동,2016,71.04,2,349000000,1990,벽산,31,0,78.7
영등포구,신길동,2016,64.4,14,350000000,1986,우성1,35,0,78.7
영등포구,당산동,2016,59.75,14,497000000,2000,현대5,21,0,78.7
영등포구,대림동,2016,59.89,4,320000000,1999,대림동2한신,22,0,78.7
영등포구,당산동,2016,59.76,15,415000000,1997,당산2차삼성,24,0,78.7
영등포구,당산동,2016,97.27,12,773000000,2003,삼성래미안,18,1,78.7
영등포구,문래동,2016,84.98,11,415000000,2001,문래동삼환,20,0,78.7
영등포구,신길동,2016,59.53,21,410000000,1997,삼환,24,0,78.7
영등포구,영등포동,2016,13.33,2,105000000,2011,헤렌어반,10,0,78.7
영등포구,영등포동,2016,91.46,4,337000000,2003,동도하이츠,18,0,78.7
영등포구,당산동,2016,115.78,5,817000000,2003,삼성래미안,18,1,78.7
영등포구,당산동,2016,114.79,10,665000000,1995,래미안당산1차,26,1,78.7
영등포구,당산동,2016,84.84,12,525000000,1983,현대1,38,0,78.7
영등포구,당산동,2016,73.27,15,450000000,1988,현대3,33,0,78.7
영등포구,양평동,2016,84.87,5,497000000,1996,한신,25,0,78.7
영등포구,영등포동,2016,12.11,19,119000000,2012,영등포메이준2011,9,0,78.7
영등포구,당산동,2016,88.02,3,529000000,2010,쌍용예가클래식,11,0,78.7
영등포구,당산동,2016,88.02,9,540000000,2010,쌍용예가클래식,11,0,78.7
영등포구,문래동,2016,84.87,2,478000000,1998,문래건영,23,0,78.7
영등포구,여의도동,2016,113.59,20,860000000,2005,롯데캐슬아이비,16,1,78.7
영등포구,문래동,2016,124.41,4,510000000,1996,미원,25,0,78.7
영등포구,당산동,2016,84.87,5,535000000,2009,당산동2차어울림,12,0,78.7
영등포구,양평동,2016,59.4,14,380000000,1998,양평삼성,23,0,78.7
영등포구,양평동,2016,59.4,4,358000000,1998,양평삼성,23,0,78.7
