자치구명,법정동명,신고년도,건물면적,층정보,물건금액,건축년도,건물명,경과년도,브랜드점수,매매지수
용산구,이촌동,2016,59.58,3,512000000,1999,동아그린,22,0,80.9
용산구,효창동,2016,60.4,5,380000000,1987,효창한신,34,0,80.9
용산구,이촌동,2016,84.89,2,830000000,1998,한가람,23,0,80.9
용산구,한강로,2016,84.99,8,650000000,2006,우림필유,15,0,80.9
용산구,서빙고동,2016,84.99,4,650000000,2000,그린파크(코오롱 하늘채),21,0,80.9
용산구,신창동,2016,84.77,6,502000000,2005,세방리버하이빌,16,0,80.9
용산구,이촌동,2016,167.21,1,2180000000,1971,한강맨숀,50,0,80.9
용산구,서빙고동,2016,84.94,13,670000000,2002,금호베스트빌1,19,0,80.9
용산구,원효로,2016,38.61,5,376000000,2014,용산 더프라임,7,0,80.9
용산구,문배동,2016,84.97,24,600000000,2007,아크로타워,14,1,80.9
용산구,한남동,2016,28.13,2,200000000,1974,한성1,47,0,80.9
용산구,도원동,2016,84.69,18,569000000,2001,삼성래미안,20,1,80.9
용산구,한남동,2016,73.39,3,625000000,2004,한남동리첸시아,17,0,80.9
용산구,한남동,2016,40.4,11,200000000,1970,성아1,51,0,80.9
용산구,후암동,2016,87.51,4,490000000,2005,삼안리치10차,16,0,80.9
용산구,효창동,2016,54.86,7,295000000,2004,임선웰빙,17,0,80.9
용산구,효창동,2016,67.24,6,420000000,2012,아인하우스,9,0,80.9
용산구,원효로,2016,136.62,6,600000000,2005,한강수,16,0,80.9
용산구,이촌동,2016,99.13,3,592000000,1974,현대맨숀,47,0,80.9
용산구,서빙고동,2016,166.98,6,1495000000,1984,신동아,37,0,80.9
용산구,신계동,2016,84.89,9,763000000,2011,용산e편한세상,10,0,80.9
용산구,후암동,2016,163.27,3,900000000,2004,브라운스톤남산,17,0,80.9
용산구,이촌동,2016,59.5,3,347000000,1970,이촌시범,51,0,80.9
용산구,한남동,2016,30.94,6,205000000,1974,한성1,47,0,80.9
용산구,후암동,2016,84.11,2,460000000,2002,후암,19,0,80.9
용산구,문배동,2016,84.92,9,545000000,2006,이안용산3차,15,0,80.9
용산구,신계동,2016,84.21,3,759000000,2011,용산e편한세상,10,0,80.9
용산구,한남동,2016,81.83,13,559000000,2010,한남동동원베네스트,11,0,80.9
용산구,효창동,2016,41.38,7,250000000,2003,화이트타운,18,0,80.9
용산구,효창동,2016,59.5,7,250000000,1969,효창맨션,52,0,80.9
용산구,이촌동,2016,49.59,6,300000000,1970,이촌시범,51,0,80.9
용산구,이촌동,2016,59.88,8,645000000,1998,한가람,23,0,80.9
용산구,한강로,2016,177.52,36,1850000000,2007,용산 시티파크(1단지),14,0,80.9
용산구,산천동,2016,59.55,9,430000000,2001,리버힐삼성,20,0,80.9
용산구,산천동,2016,114.48,7,625000000,2001,리버힐삼성,20,0,80.9
용산구,한남동,2016,36.79,6,235000000,1974,한성1,47,0,80.9
용산구,한강로,2016,35.37,1,305000000,1970,삼각아파트,51,0,80.9
용산구,이촌동,2016,104.86,8,900000000,1979,삼익,42,0,80.9
용산구,한남동,2016,197.22,5,1450000000,2002,현대하이페리온,19,0,80.9
용산구,후암동,2016,124.5,4,400000000,1971,신후암,50,0,80.9
용산구,서빙고동,2016,166.98,5,1525000000,1984,신동아,37,0,80.9
용산구,원효로,2016,148.19,3,670000000,2005,한강수,16,0,80.9
용산구,산천동,2016,59.55,12,417000000,2001,리버힐삼성,20,0,80.9
용산구,한남동,2016,37.53,10,340000000,2004,한남동리첸시아,17,0,80.9
용산구,원효로,2016,103.67,5,740000000,1977,산호,44,0,80.9
용산구,용문동,2016,84.98,3,615000000,2011,브라운스톤,10,0,80.9
용산구,문배동,2016,84.98,20,640000000,2010,리첸시아용산B,11,0,80.9
용산구,한남동,2016,177.76,2,3100000000,2011,한남더힐,10,0,80.9
용산구,문배동,2016,72.48,3,420000000,2004,삼라마이다스빌2,17,0,80.9
용산구,이촌동,2016,126.1,13,849990000,1974,현대맨숀,47,0,80.9
용산구,원효로,2016,76.56,2,420000000,1971,풍전,50,0,80.9
용산구,이촌동,2016,114.96,3,1015000000,1998,한가람,23,0,80.9
용산구,문배동,2016,84.99,8,540000000,2004,지오베르크,17,0,80.9
용산구,이촌동,2016,203.12,8,2199900000,2003,LG한강자이,18,1,80.9
용산구,한남동,2016,59.69,6,1040000000,2011,한남더힐,10,0,80.9
용산구,한남동,2016,203.76,10,1980000000,2002,현대하이페리온,19,0,80.9
용산구,한남동,2016,244.78,3,7900000000,2011,한남더힐,10,0,80.9
용산구,청암동,2016,223.75,6,1800000000,2005,GS자이,16,1,80.9
용산구,문배동,2016,84.22,11,523000000,2005,이안용산1차(102동),16,0,80.9
용산구,도원동,2016,45.26,3,123000000,1971,제일1,50,0,80.9
용산구,이촌동,2016,59.88,10,640000000,1998,한가람,23,0,80.9
용산구,한남동,2016,130.9,5,900000000,2003,한남힐스테이트,18,1,80.9
용산구,한남동,2016,59.95,4,380000000,1975,태성1,46,0,80.9
용산구,이촌동,2016,106.65,3,943000000,1998,강촌,23,0,80.9
용산구,산천동,2016,59.55,3,423000000,2001,리버힐삼성,20,0,80.9
용산구,한강로,2016,177.52,21,1700000000,2007,용산 시티파크(1단지),14,0,80.9
용산구,이촌동,2016,84.98,4,800000000,2000,한강(대우),21,0,80.9
용산구,도원동,2016,84.92,9,550000000,2001,삼성래미안,20,1,80.9
용산구,산천동,2016,114.48,15,639000000,2001,리버힐삼성,20,0,80.9
용산구,원효로,2016,84.98,16,770000000,2014,용산 더프라임,7,0,80.9
용산구,산천동,2016,114.48,5,600000000,2001,리버힐삼성,20,0,80.9
용산구,이촌동,2016,124.02,31,1880000000,2015,래미안첼리투스아파트,6,1,80.9
용산구,이촌동,2016,114.96,20,1200000000,1998,한가람,23,0,80.9
용산구,한남동,2016,59.69,1,815000000,2011,한남더힐,10,0,80.9
용산구,원효로,2016,122.85,14,825000000,2010,리첸시아용산,11,0,80.9
용산구,문배동,2016,84.83,13,649000000,2010,리첸시아용산B,11,0,80.9
용산구,문배동,2016,84.98,16,660000000,2010,리첸시아용산B,11,0,80.9
용산구,한강로,2016,146.53,25,1290000000,2007,용산 시티파크(1단지),14,0,80.9
용산구,한남동,2016,177.76,3,3150000000,2011,한남더힐,10,0,80.9
용산구,문배동,2016,79.63,4,490000000,2005,이안용산1차(102동),16,0,80.9
용산구,문배동,2016,97.24,31,680000000,2007,CJ나인파크,14,0,80.9
용산구,산천동,2016,84.98,1,500000000,2001,리버힐삼성,20,0,80.9
용산구,서빙고동,2016,95.66,4,980000000,1984,신동아,37,0,80.9
용산구,한강로,2016,116.31,31,1150000000,2007,용산 시티파크(1단지),14,0,80.9
용산구,이촌동,2016,84.88,3,655000000,1997,현대한강,24,0,80.9
용산구,이촌동,2016,59.55,8,625000000,1997,현대한강,24,0,80.9
용산구,서빙고동,2016,140.81,7,1390000000,1984,신동아,37,0,80.9
용산구,도원동,2016,84.69,5,547000000,2001,삼성래미안,20,1,80.9
용산구,효창동,2016,84.45,22,739000000,2010,효창파크푸르지오,11,1,80.9
용산구,도원동,2016,84.69,17,536000000,2001,삼성래미안,20,1,80.9
용산구,도원동,2016,59.94,9,469000000,2001,삼성래미안,20,1,80.9
용산구,효창동,2016,59.41,10,580000000,2010,효창파크푸르지오,11,1,80.9
용산구,산천동,2016,59.69,12,380000000,2001,한강타운,20,0,80.9
용산구,이촌동,2016,84.91,4,838000000,1998,강촌,23,0,80.9
용산구,이촌동,2016,84.89,6,930000000,1998,한가람,23,0,80.9
용산구,한강로,2016,99.85,17,878000000,2005,용산파크자이,16,1,80.9
용산구,문배동,2016,84.97,2,569000000,2007,아크로타워,14,1,80.9
용산구,한남동,2016,82.61,8,350000000,1970,성아1,51,0,80.9
용산구,용산동,2016,140.31,16,1630000000,2009,용산파크타워(24-1),12,0,80.9
용산구,한남동,2016,72.06,2,600000000,2004,한남동리첸시아,17,0,80.9
용산구,한강로,2016,181.89,30,1590000000,2007,용산 시티파크(1단지),14,0,80.9
용산구,이촌동,2016,134.45,20,1506000000,2003,LG한강자이,18,1,80.9
용산구,문배동,2016,123.47,22,800000000,2007,CJ나인파크,14,0,80.9
용산구,효창동,2016,73.06,10,293000000,1969,효창맨션,52,0,80.9
용산구,이촌동,2016,84.98,16,853000000,2000,한강(대우),21,0,80.9
용산구,산천동,2016,114.48,1,550000000,2001,리버힐삼성,20,0,80.9
용산구,산천동,2016,84.98,18,573000000,2001,리버힐삼성,20,0,80.9
용산구,이촌동,2016,84.96,11,895000000,1998,한가람,23,0,80.9
용산구,동빙고동,2016,144.46,6,900000000,2004,현대플래티앙2,17,0,80.9
용산구,문배동,2016,84.98,13,575000000,2007,이안용산프리미어,14,0,80.9
용산구,이태원동,2016,59.92,2,575000000,1994,남산대림,27,0,80.9
용산구,산천동,2016,59.69,11,370000000,2001,한강타운,20,0,80.9
