자치구명,법정동명,신고년도,건물면적,층정보,물건금액,건축년도,건물명,경과년도,브랜드점수,매매지수
종로구,명륜,2016,84.9,5,590000000,1995,아남1,26,0,83.7
종로구,명륜,2016,84.8,12,600000000,1995,아남1,26,0,83.7
종로구,무악동,2016,84.86,13,610000000,2008,인왕산아이파크,13,1,83.7
종로구,연건동,2016,16.98,6,170000000,2014,이화에수풀,7,0,83.7
종로구,숭인동,2016,84.92,12,520000000,2008,종로센트레빌,13,0,83.7
종로구,사직동,2016,107.91,14,830000000,2008,광화문풍림스페이스본(101동~105동),13,0,83.7
종로구,내수동,2016,145.96,13,1210000000,2004,경희궁의아침4단지,17,0,83.7
종로구,평창동,2016,238.86,4,1800000000,2009,롯데캐슬 로잔,12,1,83.7
종로구,연건동,2016,16.98,6,167000000,2014,이화에수풀,7,0,83.7
종로구,무악동,2016,114.9,10,599000000,2000,현대,21,0,83.7
종로구,연건동,2016,19.86,6,190000000,2014,이화에수풀,7,0,83.7
종로구,숭인동,2016,59.94,12,449000000,2009,종로청계힐스테이트,12,1,83.7
종로구,연건동,2016,16.98,4,170000000,2014,이화에수풀,7,0,83.7
종로구,숭인동,2016,12.01,7,108000000,2013,종로유케이201,8,0,83.7
종로구,충신동,2016,22.17,9,150000000,2011,CS타워,10,0,83.7
종로구,평창동,2016,59.97,9,315000000,1998,삼성,23,0,83.7
종로구,창신동,2016,64.66,14,310000000,1993,창신쌍용2,28,0,83.7
종로구,평창동,2016,187.9,4,790000000,2003,크래스빌,18,0,83.7
종로구,연건동,2016,16.98,8,170000000,2014,이화에수풀,7,0,83.7
종로구,명륜,2016,84.8,1,498000000,1995,아남1,26,0,83.7
종로구,연건동,2016,16.98,4,165000000,2014,이화에수풀,7,0,83.7
종로구,평창동,2016,59.97,2,288000000,1998,삼성,23,0,83.7
종로구,무악동,2016,84.86,3,655000000,2008,인왕산아이파크,13,1,83.7
종로구,내수동,2016,148.09,15,1040000000,2003,경희궁 파크팰리스,18,0,83.7
종로구,사직동,2016,94.28,12,800000000,2008,광화문풍림스페이스본(101동~105동),13,0,83.7
