자치구명,법정동명,신고년도,건물면적,층정보,물건금액,건축년도,건물명,경과년도,브랜드점수,매매지수
중랑구,신내동,2016,59.77,13,252500000,1998,새한,23,0,88.0
중랑구,신내동,2016,59.4,11,259000000,1993,동성1,28,0,88.0
중랑구,면목동,2016,35.3,7,163000000,1987,한신,34,0,88.0
중랑구,신내동,2016,84.08,4,344000000,1997,동성3,24,0,88.0
중랑구,신내동,2016,84.98,1,290000000,1993,동성1,28,0,88.0
중랑구,신내동,2016,84.65,22,430000000,2013,신내 데시앙포레,8,0,88.0
중랑구,신내동,2016,33.18,5,164500000,1996,신내9진흥,25,0,88.0
중랑구,신내동,2016,84.87,6,285000000,1999,다우훼밀리,22,0,88.0
중랑구,신내동,2016,62.54,3,310000000,2007,경남아너스빌,14,0,88.0
중랑구,신내동,2016,125.48,1,360000000,1993,동성1,28,0,88.0
중랑구,면목동,2016,76.79,4,378000000,2005,면목동금호어울림아파트,16,0,88.0
중랑구,면목동,2016,84.96,16,290000000,1998,두원,23,0,88.0
중랑구,신내동,2016,84.96,6,351000000,1996,건영2차,25,0,88.0
중랑구,면목동,2016,59.91,13,260000000,1997,성원상떼빌,24,0,88.0
중랑구,신내동,2016,84.98,13,343000000,1993,동성1,28,0,88.0
중랑구,신내동,2016,57.3,20,276000000,1996,건영2차,25,0,88.0
중랑구,면목동,2016,59.55,4,250000000,1993,두산6,28,0,88.0
중랑구,망우동,2016,84.93,4,362000000,2006,금호어울림(580),15,0,88.0
중랑구,신내동,2016,49.77,10,280000000,1996,신내6대주,25,0,88.0
중랑구,중화동,2016,84.03,9,376000000,1997,한신1차,24,0,88.0
중랑구,중화동,2016,84.87,3,340000000,1997,한신1차,24,0,88.0
중랑구,망우동,2016,84.93,10,380000000,2006,금호어울림(580),15,0,88.0
중랑구,망우동,2016,59.96,3,300000000,2006,금호어울림(580),15,0,88.0
중랑구,신내동,2016,59.4,22,275000000,1997,동성3,24,0,88.0
중랑구,신내동,2016,39.84,6,205000000,1996,신내6대주,25,0,88.0
중랑구,신내동,2016,84.65,14,425000000,2013,신내 데시앙포레,8,0,88.0
중랑구,중화동,2016,59.34,9,248000000,1995,삼익,26,0,88.0
중랑구,신내동,2016,84.91,8,430000000,2013,신내 데시앙포레,8,0,88.0
중랑구,상봉동,2016,81.78,1,328000000,2002,우정아파트,19,0,88.0
중랑구,망우동,2016,84.69,15,454000000,2008,한일써너스빌리젠시1단지,13,0,88.0
중랑구,상봉동,2016,84.91,23,420000000,2003,한일써너스빌,18,0,88.0
중랑구,면목동,2016,44.5,8,188000000,1987,한신,34,0,88.0
중랑구,신내동,2016,39.84,12,210000000,1996,신내6대주,25,0,88.0
중랑구,신내동,2016,59.76,10,330000000,1996,신내6대주,25,0,88.0
중랑구,면목동,2016,81.96,4,335000000,2005,면목동2차미소지움아파트,16,0,88.0
중랑구,면목동,2016,45.44,10,190000000,1987,한신,34,0,88.0
중랑구,묵동,2016,84.94,12,445000000,2002,현대아이파크,19,1,88.0
중랑구,신내동,2016,114.67,15,494000000,2010,데시앙,11,0,88.0
중랑구,상봉동,2016,84.96,17,370000000,1996,건영2차아파트,25,0,88.0
중랑구,면목동,2016,44.5,6,191500000,1987,한신,34,0,88.0
